trial,nct,pmid,cell,arm,value,ci_low,ci_high,p_value,source_tier,pointer,read_or_digitised,notes
PARACHUTE-HF,NCT04023227,41335448,component_win_ratio_cv_death,sv_vs_ena,1.03,0.78,1.35,,T1-SUPP,"Supplement 3 eFigure 2 p26 - 46.6% of decisions; weighted wins 41.5 vs 40.5; ties 63384 (62.5%)",read,MAJOR NEW FINDING - printed text label not digitised
PARACHUTE-HF,NCT04023227,41335448,component_win_ratio_hf_hosp,sv_vs_ena,1.11,0.71,1.59,,T1-SUPP,"Supplement 3 eFigure 2 p26 - 17.4% of decisions; weighted wins 17.6 vs 16.0; ties 49184 (77.6%)",read,MAJOR NEW FINDING - printed text label not digitised
PARACHUTE-HF,NCT04023227,41335448,component_win_ratio_ntprobnp,sv_vs_ena,3.15,2.42,4.27,,T1-SUPP,"Supplement 3 eFigure 2 p26 - 36.1% of decisions; weighted wins 52.2 vs 16.0; ties 19646 (39.9%)",read,MAJOR NEW FINDING - biomarker layer drives the headline result
PARACHUTE-HF,NCT04023227,41335448,tier_contribution_pct_cv_death,total,46.6,,,,T1-MAIN;T1-SUPP,"JAMA main text; Supplement 3 eFigure 2 p26",read,% of decisions
PARACHUTE-HF,NCT04023227,41335448,tier_contribution_pct_hf_hosp,total,17.4,,,,T1-MAIN;T1-SUPP,"JAMA main text; Supplement 3 eFigure 2 p26",read,% of decisions
PARACHUTE-HF,NCT04023227,41335448,tier_contribution_pct_ntprobnp,total,36.1,,,,T1-MAIN;T1-SUPP,"JAMA main text; Supplement 3 eFigure 2 p26",read,% of decisions
PARACHUTE-HF,NCT04023227,41335448,win_ratio_by_country_brazil,sv_vs_ena,1.367,1.103,1.697,,T1-SUPP,"Supplement 3 eTable 4 p14",read,
PARACHUTE-HF,NCT04023227,41335448,win_ratio_by_country_argentina,sv_vs_ena,1.893,1.311,2.826,,T1-SUPP,"Supplement 3 eTable 4 p14",read,
PARACHUTE-HF,NCT04023227,41335448,win_ratio_by_country_colombia,sv_vs_ena,1.796,1.042,3.258,,T1-SUPP,"Supplement 3 eTable 4 p14",read,
PARACHUTE-HF,NCT04023227,41335448,win_ratio_by_country_mexico,sv_vs_ena,2.521,0.741,12.857,,T1-SUPP,"Supplement 3 eTable 4 p14",read,
PARACHUTE-HF,NCT04023227,41335448,win_ratio_sensitivity_per_protocol,sv_vs_ena,1.509,1.273,1.804,,T1-SUPP,"Supplement 3 eTable 6 p17; PP set N=450 SV and 447 ENA",read,NEW sensitivity analysis
PARACHUTE-HF,NCT04023227,41335448,win_ratio_sensitivity_total_death_first,sv_vs_ena,1.471,1.241,1.752,,T1-SUPP,"Supplement 3 eTable 7 p19",read,NEW sensitivity analysis
PARACHUTE-HF,NCT04023227,41335448,win_ratio_method,total,"Dong et al 2018 stratified statistic; country as stratum; 95% CI from 10000 bootstrap resamples",,,,T1-SUPP,"Supplement 3 eTable 4 p14 footnote",read,
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_median_rel_change_wk12_pct,sacubitril_valsartan,-30.6,-54.3,-0.9,,T1-MAIN;T1-ABS,"JAMA Table 2; abstract (IQR not CI)",read,IQR
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_median_rel_change_wk12_pct,enalapril,-5.5,-31.9,37.5,,T1-MAIN;T1-ABS,"JAMA Table 2; abstract (IQR not CI)",read,IQR
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mean_rel_change_wk12_pct,sacubitril_valsartan,-41.1,,,,T1-MAIN,"JAMA Table 2 SD 72.8",read,SD 72.8; CORRECTS my earlier flag - this pair is the MEAN not an error
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mean_rel_change_wk12_pct,enalapril,-1.5,,,,T1-MAIN,"JAMA Table 2 SD 66.3",read,SD 66.3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_n_analysed_wk12,sacubitril_valsartan,417,,,,T1-MAIN,"JAMA Table 2",read,DISAGREES with eTable 5 and CTG which both give 419 - see discrepancy
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_n_analysed_wk12,enalapril,401,,,,T1-MAIN,"JAMA Table 2",read,DISAGREES with eTable 5 and CTG which both give 403 - see discrepancy
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_factor_change_wk12,sacubitril_valsartan,0.62,0.56,0.69,,T1-SUPP;T2-REG,"Supplement 3 eTable 5 p16; CTG primary outcome OG000",read,
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_factor_change_wk12,enalapril,0.91,0.82,1.01,,T1-SUPP;T2-REG,"Supplement 3 eTable 5 p16; CTG primary outcome OG001",read,
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_ratio_wk12,sv_vs_ena,0.68,0.62,0.75,<0.001,T1-MAIN;T1-SUPP,"JAMA Table 2; Supplement 3 eTable 5 p16",read,UPGRADED from T3-CONF (ESC press release)
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_adj_abs_diff_wk12,sv_vs_ena,-38.1,-28.6,-47.6,,T1-MAIN,"JAMA Table 2",read,NEW
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_baseline_median_pgml,sacubitril_valsartan,1801.0,921.5,3685.8,,T1-SUPP,"Supplement 3 eTable 5 p16 n=460 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_baseline_median_pgml,enalapril,1679.0,812.0,3220.0,,T1-SUPP,"Supplement 3 eTable 5 p16 n=457 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_wk12_median_pgml,sacubitril_valsartan,1236.0,557.5,2608.0,,T1-SUPP,"Supplement 3 eTable 5 p16 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_wk12_median_pgml,enalapril,1700.0,732.5,3531.5,,T1-SUPP,"Supplement 3 eTable 5 p16 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_wk12_geomean_pgml,sacubitril_valsartan,1164.5,1020.1,1329.4,,T1-SUPP,"Supplement 3 eTable 5 p16",read,adjusted for country
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_wk12_geomean_pgml,enalapril,1507.7,1318.4,1724.2,,T1-SUPP,"Supplement 3 eTable 5 p16",read,adjusted for country
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_n_analysed_mo8,sacubitril_valsartan,231,,,,T1-SUPP,"Supplement 3 eTable 5 p16",read,NEW TIMEPOINT
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_n_analysed_mo8,enalapril,220,,,,T1-SUPP,"Supplement 3 eTable 5 p16",read,NEW TIMEPOINT
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mo8_median_pgml,sacubitril_valsartan,1139.0,573.5,2345.5,,T1-SUPP,"Supplement 3 eTable 5 p16 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mo8_median_pgml,enalapril,1328.0,586.0,2549.8,,T1-SUPP,"Supplement 3 eTable 5 p16 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mo8_geomean_pgml,sacubitril_valsartan,1077.8,913.2,1272.1,,T1-SUPP,"Supplement 3 eTable 5 p16",read,
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_mo8_geomean_pgml,enalapril,1219.3,1030.6,1442.6,,T1-SUPP,"Supplement 3 eTable 5 p16",read,
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_factor_change_mo8,sacubitril_valsartan,0.66,0.55,0.79,,T1-SUPP,"Supplement 3 eTable 5 p16",read,NEW TIMEPOINT
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_factor_change_mo8,enalapril,0.86,0.72,1.03,,T1-SUPP,"Supplement 3 eTable 5 p16",read,NEW TIMEPOINT
PARACHUTE-HF,NCT04023227,41335448,ntprobnp_geomean_ratio_mo8,sv_vs_ena,0.76,0.66,0.88,,T1-SUPP,"Supplement 3 eTable 5 p16",read,NEW - effect attenuates from 0.68 at wk12 to 0.76 at mo8 on reduced n
PARACHUTE-HF,NCT04023227,41335448,any_adverse_event_n,sacubitril_valsartan,331,,,,T1-MAIN,"JAMA Table 2 (71.6%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,any_adverse_event_n,enalapril,348,,,,T1-MAIN,"JAMA Table 2 (75.7%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,serious_ae_n,sacubitril_valsartan,211,,,,T1-MAIN,"JAMA Table 2 (45.7%)",read,DISAGREES with CTG which posts 169 - see discrepancy
PARACHUTE-HF,NCT04023227,41335448,serious_ae_n,enalapril,234,,,,T1-MAIN,"JAMA Table 2 (50.9%)",read,DISAGREES with CTG which posts 183 - see discrepancy
PARACHUTE-HF,NCT04023227,41335448,serious_ae_n_registry_definition,sacubitril_valsartan,169,,,,T2-REG,"CTG AE module seriousNumAffected EG000 numAtRisk 462",read,registry AE window first dose to end of treatment +30d max 55 months
PARACHUTE-HF,NCT04023227,41335448,serious_ae_n_registry_definition,enalapril,183,,,,T2-REG,"CTG AE module seriousNumAffected EG001 numAtRisk 460",read,
PARACHUTE-HF,NCT04023227,41335448,discontinuation_due_to_ae_n,sacubitril_valsartan,28,,,,T1-MAIN,"JAMA Table 2 (6.1%)",read,UPGRADED from T3-CONF; counts newly recovered
PARACHUTE-HF,NCT04023227,41335448,discontinuation_due_to_ae_n,enalapril,45,,,,T1-MAIN,"JAMA Table 2 (9.8%)",read,UPGRADED from T3-CONF
PARACHUTE-HF,NCT04023227,41335448,study_drug_permanent_discontinuation_n,sacubitril_valsartan,21,,,,T1-SUPP,"Supplement 3 eTable 2 p12 (4.5%)",read,DIFFERENT DEFINITION from discontinuation_due_to_ae - do not conflate
PARACHUTE-HF,NCT04023227,41335448,study_drug_permanent_discontinuation_n,enalapril,49,,,,T1-SUPP,"Supplement 3 eTable 2 p12 (10.7%)",read,DIFFERENT DEFINITION
PARACHUTE-HF,NCT04023227,41335448,permanent_discont_reason_ae_n,sacubitril_valsartan,7,,,,T1-SUPP,"Supplement 3 eTable 2 p12 (7/21 = 33.3%)",read,
PARACHUTE-HF,NCT04023227,41335448,permanent_discont_reason_ae_n,enalapril,15,,,,T1-SUPP,"Supplement 3 eTable 2 p12 (15/49 = 30.6%)",read,
PARACHUTE-HF,NCT04023227,41335448,symptomatic_hypotension_n,sacubitril_valsartan,146,,,,T1-MAIN,"JAMA Table 2 (31.6%)",read,UPGRADED from T3-CONF/T5-SEC
PARACHUTE-HF,NCT04023227,41335448,symptomatic_hypotension_n,enalapril,126,,,,T1-MAIN,"JAMA Table 2 (27.4%)",read,UPGRADED from T3-CONF/T5-SEC
PARACHUTE-HF,NCT04023227,41335448,symptomatic_hypotension_rate_ratio,sv_vs_ena,1.28,0.96,1.70,,T1-MAIN,"JAMA Table 2",read,UPGRADED from T5-SEC
PARACHUTE-HF,NCT04023227,41335448,kidney_dysfunction_n,sacubitril_valsartan,101,,,,T1-MAIN,"JAMA Table 2 (21.9%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,kidney_dysfunction_n,enalapril,92,,,,T1-MAIN,"JAMA Table 2 (20.0%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,hyperkalemia_n,sacubitril_valsartan,91,,,,T1-MAIN,"JAMA Table 2 (19.7%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,hyperkalemia_n,enalapril,101,,,,T1-MAIN,"JAMA Table 2 (22.0%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,arrhythmia_ae_n,sacubitril_valsartan,77,,,,T1-MAIN,"JAMA Table 2 (16.7%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,arrhythmia_ae_n,enalapril,73,,,,T1-MAIN,"JAMA Table 2 (15.9%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,angioedema_n,sacubitril_valsartan,2,,,,T1-MAIN,"JAMA Table 2 (0.4%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,angioedema_n,enalapril,4,,,,T1-MAIN,"JAMA Table 2 (0.9%)",read,NEW
PARACHUTE-HF,NCT04023227,41335448,ae_discont_cough_n,sacubitril_valsartan,0,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,dominant single driver of the discontinuation difference
PARACHUTE-HF,NCT04023227,41335448,ae_discont_cough_n,enalapril,20,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,dominant single driver of the discontinuation difference
PARACHUTE-HF,NCT04023227,41335448,ae_discont_hypotension_n,sacubitril_valsartan,3,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,
PARACHUTE-HF,NCT04023227,41335448,ae_discont_hypotension_n,enalapril,1,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,
PARACHUTE-HF,NCT04023227,41335448,ae_discont_acute_kidney_injury_n,sacubitril_valsartan,1,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,
PARACHUTE-HF,NCT04023227,41335448,ae_discont_acute_kidney_injury_n,enalapril,3,,,,T1-SUPP,"Supplement 3 eTable 9 p22",read,
PARACHUTE-HF,NCT04023227,41335448,etable9_total_column,both,INTERNALLY INCONSISTENT,,,,T1-SUPP,"Supplement 3 eTable 9 pp22-23",read,PUBLISHED TYPESETTING ERROR - Total column equals Enalapril column wherever SV>0; verified at word-coordinate level; use per-arm columns only; not corrected by summation
PARACHUTE-HF,NCT04023227,41335448,at_target_dose_wk12,sacubitril_valsartan,270,,,,T1-SUPP,"Supplement 3 eFigure 1 p24 W12 Level 3 = 270/447 (60.4%)",read,UPGRADED from T5-SEC; denominator 447 newly visible
PARACHUTE-HF,NCT04023227,41335448,at_target_dose_wk12,enalapril,271,,,,T1-SUPP,"Supplement 3 eFigure 1 p24 W12 Level 3 = 271/441 (61.5%)",read,UPGRADED from T5-SEC; denominator 441 newly visible
PARACHUTE-HF,NCT04023227,41335448,months_on_study_medication_median,sacubitril_valsartan,24.2,17.2,32.5,,T1-SUPP,"Supplement 3 eTable 2 p12 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,months_on_study_medication_median,enalapril,20.8,8.6,30.2,,T1-SUPP,"Supplement 3 eTable 2 p12 (Q1 Q3 not CI)",read,Q1-Q3
PARACHUTE-HF,NCT04023227,41335448,pct_followup_on_drug_mean,sacubitril_valsartan,91.2,,,,T1-SUPP,"Supplement 3 eTable 2 p12 SD 21.6",read,SD 21.6
PARACHUTE-HF,NCT04023227,41335448,pct_followup_on_drug_mean,enalapril,80.8,,,,T1-SUPP,"Supplement 3 eTable 2 p12 SD 32.5",read,SD 32.5
PARACHUTE-HF,NCT04023227,41335448,baseline_med_acei_n,sacubitril_valsartan,225,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (48.7%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_acei_n,enalapril,233,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (50.7%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_arb_n,sacubitril_valsartan,147,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (31.8%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_arb_n,enalapril,141,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (30.7%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_betablocker_n,sacubitril_valsartan,419,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (90.7%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_betablocker_n,enalapril,420,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (91.3%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_mra_n,sacubitril_valsartan,337,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (72.9%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_mra_n,enalapril,341,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (74.1%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_sglt2i_n,sacubitril_valsartan,21,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (4.5%)",read,BASELINE IMBALANCE vs enalapril 8.0% - not noted by any secondary source
PARACHUTE-HF,NCT04023227,41335448,baseline_med_sglt2i_n,enalapril,37,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (8.0%)",read,BASELINE IMBALANCE
PARACHUTE-HF,NCT04023227,41335448,baseline_med_amiodarone_n,sacubitril_valsartan,148,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (32.0%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_amiodarone_n,enalapril,141,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (30.7%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_anticoagulant_n,sacubitril_valsartan,210,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (45.5%)",read,
PARACHUTE-HF,NCT04023227,41335448,baseline_med_anticoagulant_n,enalapril,205,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (44.6%)",read,
PARACHUTE-HF,NCT04023227,41335448,concomitant_med_sglt2i_n,sacubitril_valsartan,47,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (10.2%)",read,
PARACHUTE-HF,NCT04023227,41335448,concomitant_med_sglt2i_n,enalapril,60,,,,T1-SUPP,"Supplement 3 eTable 3 p13 (13.0%)",read,
PARACHUTE-HF,NCT04023227,41335448,subgroup_sex_male_WR,sv_vs_ena,1.540,1.227,1.934,,T1-SUPP,"Supplement 3 eTable 8 p20 N=535 wins 15812 ties 5698 losses 11120",read,
