pmid	decision	first_failing_criterion	trial	reason	title
36914068	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	SGLT2 inhibitors and cardiovascular outcomes in heart failure with mildly reduced and preserved ejection fraction: A systematic review and meta-analys
36800904	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sodium-Glucose Cotransporter 2 Inhibitors Among Heart Failure With Mildly Reduced and Preserved Ejection Fraction.
36718512	EXCLUDE	1		real-world eligibility analysis, not randomised	Eligibility for sotagliflozin in a real-world heart failure population based on the SOLOIST-WHF trial enrolment criteria: data from the Swedish heart 
36702979	EXCLUDE	1		indexed as Systematic Review/Network Meta-Analysis - a synthesis, not a randomised trial	Indirect comparison of SGLT2 inhibitors in patients with established heart failure: evidence based on Bayesian methods.
36589800	EXCLUDE	1		indexed as Systematic Review/Network Meta-Analysis - a synthesis, not a randomised trial	Comparison the effects of finerenone and SGLT2i on cardiovascular and renal outcomes in patients with type 2 diabetes mellitus: A network meta-analysi
36545024	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Cardiovascular outcomes in patients treated with sodium-glucose transport protein 2 inhibitors, a network meta-analysis of randomized trials.
36506550	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Cardiovascular and renal outcomes with sodium glucose co-transporter 2 inhibitors in patients with type 2 diabetes mellitus: A system review and netwo
39076185	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Efficacy of Sodium-Glucose Cotransporter 2 Inhibitors in Heart Failure with a Preserved Ejection Fraction: A Meta-Analysis of Randomized Controlled Tr
35777490	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Safety outcomes of SGLT2i in the heart failure trials: A systematic review and Meta-analysis.
35569736	EXCLUDE	1		indexed as Meta-Analysis - a synthesis, not a randomised trial	Different Sodium-Glucose Cotransporter-2 Inhibitors: Can They Prevent Death?
35128801	EXCLUDE	1		indexed as Systematic Review - a synthesis, not a randomised trial	Sacubitril/valsartan, sodium-glucose cotransporter 2 inhibitors and vericiguat for congestive heart failure therapy.
34621187	EXCLUDE	1		normoglycaemic mouse model, not a human RCT	Sotagliflozin, a Dual SGLT1/2 Inhibitor, Improves Cardiac Outcomes in a Normoglycemic Mouse Model of Cardiac Pressure Overload.
34617565	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Sodium-glucose cotransporter 2 inhibitors in patients with heart failure: a systematic review and meta-analysis of randomized trials.
34603858	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Role of Selective Sodium-Glucose Co-Transporter-2 Inhibitors in Managing Cardio-Renal Complications in Type 2 Diabetes Mellitus: Beyond Glycemic Contr
34596148	EXCLUDE	1		indexed as Meta-Analysis - a synthesis, not a randomised trial	Gliflozins for the prevention of stroke in diabetes and cardiorenal diseases: A meta-analysis of cardiovascular outcome trials.
34545668	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Sotagliflozin for patients with type 2 diabetes: A systematic review and meta-analysis.
34514812	EXCLUDE	1		indexed as Meta-Analysis - a synthesis, not a randomised trial	Sodium-Glucose Cotransporter 2 Inhibitors, All-Cause Mortality, and Cardiovascular Outcomes in Adults with Type 2 Diabetes: A Bayesian Meta-Analysis a
34498169	EXCLUDE	1		indexed as Systematic Review/Network Meta-Analysis - a synthesis, not a randomised trial	Influence of receptor selectivity on benefits from SGLT2 inhibitors in patients with heart failure: a systematic review and head-to-head comparative e
34390570	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Cardiovascular effects of non-insulin glucose-lowering agents: a comprehensive review of trial evidence and potential cardioprotective mechanisms.
36277321	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Sodium-glucose Cotransporter 2 Inhibitors' Rise to the Backbone of Heart Failure Management: A Clinical Review.
34152828	EXCLUDE	1		SOLOIST-WHF total-hospitalisations analysis - SOURCE of the pooled total-events estimate, not a separate trial - a report of an already-included trial, not a separate randomised comparison	Effect of Sotagliflozin on Total Hospitalizations in Patients With Type 2 Diabetes and Worsening Heart Failure : A Randomized Trial.
33888126	EXCLUDE	1		indexed as Meta-Analysis/Systematic Review - a synthesis, not a randomised trial	Effects of sodium-glucose cotransporter type 2 inhibitors on cardiovascular, renal, and safety outcomes in patients with cardiovascular disease: a met
33773943	EXCLUDE	1		not a randomised trial report of sotagliflozin against placebo	[SGLT2 inhibitors: A new era for our patients].
33200892	INCLUDE	-	SOLOIST-WHF	phase 3 RCT, sotagliflozin vs placebo, primary = total CV death/HF hospitalisation/urgent visit	Sotagliflozin in Patients with Diabetes and Recent Worsening Heart Failure.
33200891	INCLUDE	-	SCORED	phase 3 RCT, sotagliflozin vs placebo, CV death/HF events in T2D with CKD	Sotagliflozin in Patients with Diabetes and Chronic Kidney Disease.
32909376	EXCLUDE	1		indexed as Review - a synthesis, not a randomised trial	Non-insulin antihyperglycaemic drugs and heart failure: an overview of current evidence from randomized controlled trials.
