cat,rel_pct,app,nct,est,app_val,app_lci,app_uci,src_val,src_lci,src_uci,src_origin,outcome_title
MILD,14,AML_TARGETED_NEW,NCT02993523,HR,0.66,.52,.85,0.58,0.465,0.723,outcome_analyses,Overall survival in 1L unfit AML
MILD,14,IO_CHEMO_NSCLC_1L,NCT02775435,HR,0.64,.49,.85,0.56,0.45,0.7,outcome_analyses,"Overall survival (primary, pembro+chemo vs chemo, HR)"
MILD,13,ADJUVANT_IO_PAN_TUMOR,NCT04221945,HR,0.81,.66,.99,0.72,0.59,0.87,outcome_analyses,PFS in cervical CRT
MILD,13,GASTRIC_FRONTLINE_IO_NMA,NCT02872116,HR,0.8,.68,.94,0.71,0.59,0.86,outcome_analyses,OS CheckMate-649
MILD,13,OSIMERTINIB_EGFR_NSCLC,NCT02511106,HR,0.2,.14,.3,0.23,0.18,0.3,outcome_analyses,Disease-free survival (primary; HR vs placebo)
MILD,13,PD1_RCC_1L,NCT02684006,HR,0.69,.56,.84,0.61,0.475,0.79,outcome_analyses,PFS in PD-L1+ population
MILD,12,ANTI_PD1_GASTRIC,NCT03653507,HR,0.77,.62,.97,0.689,0.552,0.86,outcome_analyses,OS in CLDN18.2+ 1L gastric
MILD,12,CERVICAL_CANCER_IO_BROAD,NCT03635567,HR,0.65,.5,.81,0.58,0.47,0.71,outcome_analyses,OS in 1L PD-L1 CPS ≥1
MILD,12,COPD_BIOLOGICS_BROAD,NCT02138916,RR,0.93,.79,1.1,0.83,0.69,1.0,outcome_analyses,Annualized exacerbation rate (NEGATIVE)
MILD,11,DOAC_AF,NCT00403767,HR,0.88,.75,1.03,0.79,0.66,0.96,outcome_analyses,"Stroke or systemic embolism (primary, on-treatment)"
MILD,11,OVARIAN_PARP,NCT03522246,HR,0.52,.4,.68,0.47,0.31,0.72,outcome_analyses,PFS in 1L HRD subgroup
MILD,10,ACALABRUTINIB_CLL,NCT02970318,HR,0.28,.2,.38,0.31,0.2,0.49,outcome_analyses,"IRC-assessed progression-free survival (primary, acalabrutinib vs investigator c"
MILD,10,ANTI_PDL1_BLADDER,NCT02853305,HR,0.86,.72,1.02,0.78,0.65,0.93,outcome_analyses,OS in 1L combination (NEGATIVE)
MILD,10,CHECKPOINT_ESOPHAGEAL_SCC,NCT02564263,HR,0.69,.52,.93,0.77,0.63,0.96,outcome_analyses,OS in PD-L1 CPS ≥10 ESCC subgroup
MILD,10,SCLC_IO,NCT03066778,HR,0.8,.64,.98,0.73,0.6,0.88,outcome_analyses,PFS in 1L ES-SCLC
MILD,9,CHECKPOINT_MELANOMA_1L,NCT01844505,HR,0.52,.43,.64,0.57,0.43,0.76,outcome_analyses,Overall survival (6.5y follow-up)
MILD,9,HFpEF_DRUGS_NMA,NCT01920711,HR,0.87,.75,1.01,0.9531,0.7863,1.1551,outcome_analyses,Composite total HF hosp + CV death
MILD,8,ADJUVANT_IO_MELANOMA,NCT02388906,HR,0.65,.51,.83,0.71,0.6,0.86,outcome_analyses,Recurrence-free survival (primary; HR vs ipilimumab)
MILD,8,ANTI_PD1_GASTRIC,NCT02494583,HR,0.91,.74,1.1,0.84,0.7,1.02,outcome_analyses,OS pembro mono vs chemo (CPS ≥1)
MILD,8,ANTI_PD1_GASTRIC,NCT03777657,HR,0.8,.66,.97,0.74,0.59,0.94,outcome_analyses,OS in PD-L1 TAP ≥5% (1L gastric)
MILD,8,ANTI_TIGIT_TUMORS,NCT04256421,HR,1.02,.84,1.24,1.11,0.89,1.38,outcome_analyses,OS in 1L SCLC (NEGATIVE)
MILD,8,HEAD_NECK_IO_BROAD,NCT03765918,HR,0.67,.51,.88,0.73,0.58,0.92,outcome_analyses,EFS in perioperative HNSCC
MILD,8,IO_CHEMO_NSCLC_1L,NCT02578680,HR,0.56,.45,.7,0.52,0.43,0.64,outcome_analyses,"Overall survival (primary, pembro+chemo vs chemo, HR)"
MILD,8,NEOADJUVANT_IO_BREAST,NCT03498716,HR,1.02,.85,1.24,1.11,0.87,1.42,outcome_analyses,iDFS in TNBC adjuvant (NEGATIVE)
MILD,8,SGLT2_BROAD_OUTCOMES_NMA,NCT01032629,HR,0.86,.75,.97,0.93,0.78,1.12,outcome_analyses,3P-MACE CANVAS
MILD,8,T1D_CLOSED_LOOP_NMA,NCT03844789,MD,11.0,9,13,12.0,6.2422,17.7578,outcome_measurements_mean_arms,TIR change 6mo (iDCL)
MILD,7,AML_TARGETED_NEW,NCT02577406,HR,0.92,.73,1.16,0.86,0.67,1.1,outcome_analyses,OS in R/R IDH2+ AML (NEGATIVE)
MILD,7,GASTRIC_FRONTLINE_IO_NMA,NCT03615326,HR,0.78,.69,.89,0.73,0.61,0.87,outcome_analyses,OS KN-859 pembro+chemo
MILD,7,NPC_NASOPHARYNGEAL_IO,NCT02611960,HR,0.84,.62,1.13,0.9,0.67,1.19,outcome_analyses,OS in 2L recurrent/metastatic NPC
MILD,7,VENETOCLAX_AML,NCT03069352,HR,0.7,.5,.98,0.749,0.524,1.071,outcome_analyses,Overall survival (6-month add-on primary)
MILD,6,ADJUVANT_IO_PAN_TUMOR,NCT02504372,HR,0.76,.63,.91,0.81,0.68,0.96,outcome_analyses,DFS in stage IB-IIIA NSCLC
MILD,6,TROP2_ADC_BROAD,NCT02574455,HR,0.41,.32,.52,0.387,0.305,0.492,outcome_analyses,PFS in metastatic TNBC
