file,nct,action
ANTIAMYLOID_AD_REVIEW.html,NCT03887455,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00061594,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00056836,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00593450,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02434328,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02307682,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04423718,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823300,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823287,ADDED_1_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00637377,ADDED_2_ROWS
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00509795,ADDED_1_ROWS
ARNI_HF_REVIEW.html,NCT03988634,ADDED_1_ROWS
ARNI_HF_REVIEW.html,NCT02924727,ADDED_1_ROWS
ARNI_HF_REVIEW.html,NCT01920711,ADDED_1_ROWS
ARNI_HF_REVIEW.html,NCT01035255,ADDED_1_ROWS
ARPI_mHSPC_REVIEW.html,NCT01715285,ADDED_1_ROWS
ARPI_mHSPC_REVIEW.html,NCT02799602,ADDED_1_ROWS
ARPI_mHSPC_REVIEW.html,NCT02489318,ADDED_2_ROWS
ARPI_mHSPC_REVIEW.html,NCT02446405,ADDED_1_ROWS
ARPI_mHSPC_REVIEW.html,NCT02677896,ADDED_1_ROWS
ARPI_NMCRPC_REVIEW.html,NCT02200614,ADDED_1_ROWS
ARPI_NMCRPC_REVIEW.html,NCT02003924,ADDED_1_ROWS
ARPI_NMCRPC_REVIEW.html,NCT01946204,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT03334396,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT03569293,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT03349060,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT03985943,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT04146363,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT03131648,ADDED_1_ROWS
ATOPIC_DERM_NMA_REVIEW.html,NCT02277743,ADDED_1_ROWS
ATTR_CM_NMA_REVIEW.html,NCT03860935,ADDED_1_ROWS
ATTR_CM_NMA_REVIEW.html,NCT04153149,ADDED_1_ROWS
ATTR_CM_NMA_REVIEW.html,NCT01994889,ADDED_1_ROWS
ATTR_CM_REVIEW.html,NCT03997383,ADDED_1_ROWS
ATTR_CM_REVIEW.html,NCT05534659,ADDED_1_ROWS
ATTR_CM_REVIEW.html,NCT03860935,ADDED_1_ROWS
ATTR_CM_REVIEW.html,NCT01994889,ADDED_1_ROWS
ATTR_PN_NMA_REVIEW.html,NCT04136184,ADDED_1_ROWS
ATTR_PN_NMA_REVIEW.html,NCT03759379,ADDED_1_ROWS
ATTR_PN_NMA_REVIEW.html,NCT01960348,ADDED_1_ROWS
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,ADDED_1_ROWS
AVACINCAPTAD_GA_REVIEW.html,NCT02686658,ADDED_1_ROWS
AVACINCAPTAD_GA_REVIEW.html,NCT05536557,NO_EVIDENCE_ARRAY
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT04224987,ADDED_1_ROWS
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,ADDED_1_ROWS
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02047981,ADDED_1_ROWS
BELIMUMAB_SLE_REVIEW.html,NCT01639339,ADDED_1_ROWS
BELIMUMAB_SLE_REVIEW.html,NCT01484496,ADDED_1_ROWS
BELIMUMAB_SLE_REVIEW.html,NCT00410384,ADDED_1_ROWS
BELIMUMAB_SLE_REVIEW.html,NCT00424476,ADDED_1_ROWS
BEMPEDOIC_ACID_REVIEW.html,NCT02988115,NO_EVIDENCE_ARRAY
BEMPEDOIC_ACID_REVIEW.html,NCT02973841,ADDED_1_ROWS
BEMPEDOIC_ACID_REVIEW.html,NCT02666664,ADDED_1_ROWS
BEMPEDOIC_ACID_REVIEW.html,NCT02993406,ADDED_1_ROWS
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,ADDED_1_ROWS
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03410992,ADDED_1_ROWS
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03370133,ADDED_1_ROWS
BIOLOGIC_ASTHMA_REVIEW.html,NCT03347279,ADDED_1_ROWS
BIOLOGIC_ASTHMA_REVIEW.html,NCT02414854,ADDED_1_ROWS
BIOLOGIC_ASTHMA_REVIEW.html,NCT01914757,ADDED_1_ROWS
BIOLOGIC_ASTHMA_REVIEW.html,NCT01691521,ADDED_1_ROWS
BPAL_MDRTB_REVIEW.html,NCT02754765,ADDED_1_ROWS
BPAL_MDRTB_REVIEW.html,NCT02409290,ADDED_1_ROWS
BPAL_MDRTB_REVIEW.html,NCT02589782,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT02970318,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT01578707,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT03336333,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT01722487,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT03734016,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT02477696,ADDED_1_ROWS
BTKI_CLL_NMA_REVIEW.html,NCT02475681,ADDED_1_ROWS
CAB_PREP_HIV_REVIEW.html,NCT03164564,ADDED_1_ROWS
CAB_PREP_HIV_REVIEW.html,NCT02720094,ADDED_1_ROWS
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT03299049,ADDED_1_ROWS
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,ADDED_1_ROWS
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02951052,ADDED_1_ROWS
CANGRELOR_PCI_REVIEW.html,NCT01156571,ADDED_1_ROWS
CANGRELOR_PCI_REVIEW.html,NCT00385138,ADDED_1_ROWS
CANGRELOR_PCI_REVIEW.html,NCT00305162,ADDED_1_ROWS
CAPIVASERTIB_BC_REVIEW.html,NCT04305496,ADDED_2_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03819153,ADDED_1_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03594110,ADDED_1_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03036150,ADDED_1_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02065791,ADDED_1_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02545049,ADDED_1_ROWS
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02540993,ADDED_1_ROWS
CART_DLBCL_REVIEW.html,NCT03570892,ADDED_1_ROWS
CART_DLBCL_REVIEW.html,NCT03575351,ADDED_1_ROWS
CART_DLBCL_REVIEW.html,NCT03391466,ADDED_1_ROWS
CART_MM_REVIEW.html,NCT03651128,ADDED_1_ROWS
CART_MM_REVIEW.html,NCT04181827,ADDED_1_ROWS
CBD_SEIZURE_REVIEW.html,NCT02224703,ADDED_1_ROWS
CBD_SEIZURE_REVIEW.html,NCT02224560,ADDED_1_ROWS
CBD_SEIZURE_REVIEW.html,NCT02224690,ADDED_1_ROWS
CBD_SEIZURE_REVIEW.html,NCT02091375,ADDED_1_ROWS
CD_BIOLOGICS_NMA_REVIEW.html,NCT03345849,ADDED_1_ROWS
CD_BIOLOGICS_NMA_REVIEW.html,NCT03105128,ADDED_1_ROWS
CD_BIOLOGICS_NMA_REVIEW.html,NCT01369329,ADDED_1_ROWS
CD_BIOLOGICS_NMA_REVIEW.html,NCT01224171,ADDED_1_ROWS
CD_BIOLOGICS_NMA_REVIEW.html,NCT00152490,ADDED_1_ROWS
CDK46_MBC_REVIEW.html,NCT02246621,ADDED_1_ROWS
CDK46_MBC_REVIEW.html,NCT01958021,ADDED_1_ROWS
CDK46_MBC_REVIEW.html,NCT01740427,ADDED_1_ROWS
CFTR_CF_REVIEW.html,NCT03525548,ADDED_1_ROWS
CFTR_CF_REVIEW.html,NCT03525444,ADDED_1_ROWS
CFTR_CF_REVIEW.html,NCT00909532,ADDED_1_ROWS
CFTR_MODULATORS_NMA_REVIEW.html,NCT03525444,ADDED_1_ROWS
CFTR_MODULATORS_NMA_REVIEW.html,NCT02347657,ADDED_1_ROWS
CFTR_MODULATORS_NMA_REVIEW.html,NCT01807923,ADDED_1_ROWS
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02559895,ADDED_1_ROWS
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02614183,ADDED_1_ROWS
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02629861,ADDED_1_ROWS
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02456740,ADDED_1_ROWS
CGRP_MIGRAINE_REVIEW.html,NCT02629861,ADDED_1_ROWS
CGRP_MIGRAINE_REVIEW.html,NCT02614183,ADDED_1_ROWS
CGRP_MIGRAINE_REVIEW.html,NCT02456740,ADDED_1_ROWS
CHOLERA_OCV_REVIEW.html,NCT02027207,ADDED_1_ROWS
COLCHICINE_CVD_REVIEW.html,NCT02898610,ADDED_1_ROWS
COLCHICINE_CVD_REVIEW.html,NCT03048825,ADDED_1_ROWS
COLCHICINE_CVD_REVIEW.html,NCT02551094,ADDED_1_ROWS
COPD_TRIPLE_REVIEW.html,NCT02497001,ADDED_1_ROWS
COPD_TRIPLE_REVIEW.html,NCT02465567,ADDED_1_ROWS
COPD_TRIPLE_REVIEW.html,NCT02164513,ADDED_1_ROWS
COVID_ORAL_ANTIVIRALS_REVIEW.html,NCT04575597,ADDED_1_ROWS
COVID_ORAL_ANTIVIRALS_REVIEW.html,NCT04960202,ADDED_1_ROWS
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,NCT01075152,NO_EVIDENCE_ARRAY
DELANDISTROGENE_DMD_REVIEW.html,NCT05096221,ADDED_1_ROWS
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT03622593,NO_EVIDENCE_ARRAY
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT03622580,NO_EVIDENCE_ARRAY
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT01627249,NO_EVIDENCE_ARRAY
DOAC_AF_NMA_REVIEW.html,NCT00781391,ADDED_1_ROWS
DOAC_AF_NMA_REVIEW.html,NCT00412984,ADDED_1_ROWS
DOAC_AF_NMA_REVIEW.html,NCT00403767,ADDED_1_ROWS
DOAC_AF_NMA_REVIEW.html,NCT00262600,ADDED_2_ROWS
DOAC_AF_REVIEW.html,NCT00781391,ADDED_1_ROWS
DOAC_AF_REVIEW.html,NCT00412984,ADDED_1_ROWS
DOAC_AF_REVIEW.html,NCT00403767,ADDED_1_ROWS
DOAC_AF_REVIEW.html,NCT00262600,ADDED_2_ROWS
DOAC_CANCER_VTE_REVIEW.html,NCT03045406,ADDED_1_ROWS
DOAC_CANCER_VTE_REVIEW.html,NCT02585713,ADDED_1_ROWS
DOAC_CANCER_VTE_REVIEW.html,NCT02583191,ADDED_1_ROWS
DOAC_CANCER_VTE_REVIEW.html,NCT02073682,ADDED_1_ROWS
DOAC_VTE_NMA_REVIEW.html,NCT00986154,ADDED_1_ROWS
DOAC_VTE_NMA_REVIEW.html,NCT00643201,ADDED_1_ROWS
DOAC_VTE_NMA_REVIEW.html,NCT00440193,ADDED_1_ROWS
DOAC_VTE_NMA_REVIEW.html,NCT00291330,ADDED_1_ROWS
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03048422,ADDED_1_ROWS
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT02777229,ADDED_1_ROWS
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03122262,ADDED_1_ROWS
DONANEMAB_AD_SOLO_REVIEW.html,NCT04437511,ADDED_2_ROWS
DORAVIRINE_HIV_REVIEW.html,NCT02397096,ADDED_1_ROWS
DORAVIRINE_HIV_REVIEW.html,NCT02275780,ADDED_1_ROWS
DORAVIRINE_HIV_REVIEW.html,NCT02403674,ADDED_1_ROWS
DUPILUMAB_AD_REVIEW.html,NCT02260986,ADDED_1_ROWS
DUPILUMAB_AD_REVIEW.html,NCT02277769,ADDED_1_ROWS
DUPILUMAB_AD_REVIEW.html,NCT02277743,ADDED_1_ROWS
DUPILUMAB_COPD_REVIEW.html,NCT04456673,ADDED_1_ROWS
DUPILUMAB_COPD_REVIEW.html,NCT03930732,ADDED_1_ROWS
EBOLA_VACCINE_REVIEW.html,NCT02378753,ADDED_1_ROWS
EFGARTIGIMOD_MG_REVIEW.html,NCT03669588,ADDED_1_ROWS
ELACESTRANT_BC_REVIEW.html,NCT03778931,ADDED_1_ROWS
ENSIFENTRINE_COPD_REVIEW.html,NCT04542057,ADDED_1_ROWS
ENSIFENTRINE_COPD_REVIEW.html,NCT04535986,ADDED_1_ROWS
ESKETAMINE_TRD_REVIEW.html,NCT02422186,ADDED_1_ROWS
ESKETAMINE_TRD_REVIEW.html,NCT02418585,ADDED_1_ROWS
ETRASIMOD_UC_REVIEW.html,NCT03996369,ADDED_1_ROWS
ETRASIMOD_UC_REVIEW.html,NCT03945188,ADDED_1_ROWS
EVT_BASILAR_REVIEW.html,NCT01717755,ADDED_1_ROWS
EVT_BASILAR_REVIEW.html,NCT02737189,ADDED_1_ROWS
EVT_BASILAR_REVIEW.html,NCT04751708,ADDED_1_ROWS
EVT_EXTENDED_WINDOW_REVIEW.html,NCT03098355,ADDED_1_ROWS
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02586415,ADDED_1_ROWS
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02142283,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT03805308,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT03811769,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT03094715,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT03876457,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT04551664,ADDED_1_ROWS
EVT_LARGECORE_REVIEW.html,NCT03702413,ADDED_1_ROWS
FARICIMAB_NAMD_REVIEW.html,NCT03823300,ADDED_1_ROWS
FARICIMAB_NAMD_REVIEW.html,NCT03823287,ADDED_1_ROWS
FENFLURAMINE_SEIZURE_REVIEW.html,NCT03355209,ADDED_1_ROWS
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02926898,ADDED_2_ROWS
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02682927,ADDED_1_ROWS
FEZOLINETANT_VMS_REVIEW.html,NCT04003142,ADDED_1_ROWS
FEZOLINETANT_VMS_REVIEW.html,NCT04003155,ADDED_1_ROWS
FINERENONE_REVIEW.html,NCT01874431,ADDED_1_ROWS
FINERENONE_REVIEW.html,NCT04435626,ADDED_1_ROWS
FINERENONE_REVIEW.html,NCT02545049,ADDED_1_ROWS
FINERENONE_REVIEW.html,NCT02540993,ADDED_1_ROWS
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00089791,ADDED_1_ROWS
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00321620,ADDED_1_ROWS
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01575834,ADDED_1_ROWS
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01631214,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT03496298,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT01144338,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT02465515,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT01147250,ADDED_2_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT02692716,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT01394952,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT01720446,ADDED_1_ROWS
GLP1_CVOT_NMA_REVIEW.html,NCT01179048,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT03574597,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03914728,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT02692716,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03496298,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01394952,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT02465515,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01144338,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01720446,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01179048,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01147250,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03914326,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03496298,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03574597,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT02692716,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01394952,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT02465515,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01144338,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01720446,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01179048,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT01147250,NO_EVIDENCE_ARRAY
GLP1_CVOT_REVIEW.html,NCT03914326,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT03496298,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT03574597,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT02692716,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT01394952,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT02465515,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT01144338,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT01720446,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT01179048,ADDED_1_ROWS
GLP1_CVOT_REVIEW.html,NCT01147250,ADDED_2_ROWS
GLP1_MASH_NMA_REVIEW.html,NCT02970942,ADDED_1_ROWS
GLP1_MASH_NMA_REVIEW.html,NCT04166773,ADDED_1_ROWS
GLP1_MASH_NMA_REVIEW.html,NCT04822181,ADDED_1_ROWS
HCC_1L_NMA_REVIEW.html,NCT03713593,ADDED_1_ROWS
HCC_1L_NMA_REVIEW.html,NCT04039607,ADDED_1_ROWS
HCC_1L_NMA_REVIEW.html,NCT03298451,ADDED_1_ROWS
HCC_1L_NMA_REVIEW.html,NCT03434379,ADDED_2_ROWS
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940471,NO_EVIDENCE_ARRAY
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940341,NO_EVIDENCE_ARRAY
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02642432,ADDED_1_ROWS
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201953,ADDED_1_ROWS
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201940,ADDED_1_ROWS
HER2_LOW_ADC_NMA_REVIEW.html,NCT05374512,ADDED_1_ROWS
HER2_LOW_ADC_NMA_REVIEW.html,NCT03901339,ADDED_1_ROWS
HER2_LOW_ADC_NMA_REVIEW.html,NCT04494425,ADDED_1_ROWS
HER2_LOW_ADC_NMA_REVIEW.html,NCT03734029,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT04435626,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT01035255,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT03057951,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT03619213,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT03057977,ADDED_1_ROWS
HF_QUADRUPLE_NMA_REVIEW.html,NCT03036124,ADDED_1_ROWS
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,NCT04242446,NO_EVIDENCE_ARRAY
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,NCT01468233,NO_EVIDENCE_ARRAY
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,NCT01468207,NO_EVIDENCE_ARRAY
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02052310,ADDED_1_ROWS
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02892149,ADDED_1_ROWS
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02648347,ADDED_1_ROWS
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02876835,ADDED_1_ROWS
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02879305,ADDED_1_ROWS
HIGH_EFFICACY_MS_REVIEW.html,NCT02792231,ADDED_1_ROWS
HIGH_EFFICACY_MS_REVIEW.html,NCT02792218,ADDED_1_ROWS
HIGH_EFFICACY_MS_REVIEW.html,NCT01412333,ADDED_1_ROWS
HIGH_EFFICACY_MS_REVIEW.html,NCT01247324,ADDED_1_ROWS
HIV_ART_FIRSTLINE_NMA_REVIEW.html,NCT03122262_TDF,ADDED_1_ROWS
HIV_ART_FIRSTLINE_NMA_REVIEW.html,NCT03122262,ADDED_1_ROWS
HIV_ART_TIMING_NMA_REVIEW.html,NCT00074581,NO_EVIDENCE_ARRAY
HIV_ART_TIMING_NMA_REVIEW.html,NCT00495651,NO_EVIDENCE_ARRAY
HIV_ART_TIMING_NMA_REVIEW.html,NCT00867048,NO_EVIDENCE_ARRAY
HIV_LA_PREP_NMA_REVIEW.html,NCT04925752,ADDED_1_ROWS
HIV_LA_PREP_NMA_REVIEW.html,NCT04994509,ADDED_1_ROWS
HIV_LA_PREP_NMA_REVIEW.html,NCT03164564,ADDED_1_ROWS
HIV_LA_PREP_NMA_REVIEW.html,NCT02720094,ADDED_1_ROWS
HIV_PREP_INJECTABLE_NMA_REVIEW.html,NCT02842086,NO_EVIDENCE_ARRAY
HIV_PREP_INJECTABLE_NMA_REVIEW.html,NCT03164564,NO_EVIDENCE_ARRAY
HIV_PREP_INJECTABLE_NMA_REVIEW.html,NCT02720094,NO_EVIDENCE_ARRAY
HIV_TB_COINFECTION_ART_TIMING_NMA_REVIEW.html,NCT00226434,NO_EVIDENCE_ARRAY
