file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v3
BPAL_MDRTB_REVIEW.html,NCT02409290,36368333,STREAM-2,,WRONG_PMID,Effects of fish oil on methotrexate-induced reproductive damage in rats.,2022 Dec,38462751,T-wave morphology abnormalities in the STREAM stage 1 trial.,NCT02409290[si],WRONG_PMID
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,32130807,FLAIR,,WRONG_PMID,Misguided Changes to SNAP - Defending a Public Health Intervention for the Poor.,2020 Mar 26,40779489,Subcutaneous injections of cabotegravir plus rilpivirine long-acting in virally suppressed adults with HIV-1.,NCT02938520[si],WRONG_PMID
CAPIVASERTIB_BC_REVIEW.html,NCT04305496,37256974,CAPItello-291,,WRONG_PMID,Tirofiban for Stroke without Large or Medium-Sized Vessel Occlusion.,2023 Jun 1,39283299,A plain language summary of the CAPItello-291 study: Capivasertib in hormone receptor-positive advanced breast cancer.,NCT04305496[si],WRONG_PMID
CART_MM_REVIEW.html,NCT03651128,36762851,KarMMa-3,,WRONG_PMID,Ide-cel or Standard Regimens in Relapsed and Refractory Multiple Myeloma.,2023 Mar 16,41627370,Ciltacabtagene Autoleucel Versus Idecabtagene Vicleucel in Triple-Class-Exposed Relapsed/Refractory Multiple Myeloma with 2-4 Prior Lines of Therapy: Updated Matching-Adjusted Indirect Comparison.,NCT03651128[si],WRONG_PMID
CFTR_CF_REVIEW.html,NCT03525548,31679946,VX17-445-103,,WRONG_PMID,"Efficacy and safety of the elexacaftor plus tezacaftor plus ivacaftor combination regimen in people with cystic fibrosis homozygous for the F508del mutation: a double-blind, randomised, phase 3 trial.",2019 Nov 23,,,,WRONG_PMID
CHOLERA_OCV_REVIEW.html,NCT02027207,29456042,Single-Dose Shanchol Bangladesh,,WRONG_PMID,Evidence to improve the treatment of infections caused by carbapenem-resistant Gram-negative bacteria.,2018 Apr,31879124,Augmented immune responses to a booster dose of oral cholera vaccine in Bangladeshi children less than 5 years of age: Revaccination after an interval of over three years of primary vaccination with a single dose of vaccine.,NCT02027207[si],WRONG_PMID
CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW.html,LEGACY-ISRCTN-45035509-ACTA,29539276,ACTA (Molloy 2018),,WRONG_PMID,Lithium-Induced Nephropathy.,2018 Mar 15,42067441,"Corrigendum to ""Thermotolerance induced at a mild temperature of 40 °C alleviates heat shock-induced ER stress and apoptosis in HeLa cells"" [Biochim. Biophys. Acta - Mol. Cell Res. 1853 (2015) 52-62/PMID: 25260982].",ACTA[ti],WRONG_PMID
CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW.html,NCT01075152,24941068,COAT (ART timing in CM),,WRONG_PMID,Computational model of erratic arrhythmias in a cardiac cell network: the role of gap junctions.,2014,39972326,"Experiences, challenges, gaps, and strategies for counselling persons presenting with advanced HIV-associated meningitis in Uganda.",NCT01075152[si],WRONG_PMID
DIABETIC_RETINOPATHY_REVIEW.html,NCT02718326,33890860,PANORAMA (Brown 2021),,WRONG_PMID,Development and Implementation of a Multidisciplinary Electronic Discharge Readiness Tool: User-Centered Design Approach.,2021 Apr 23,34351414,Evaluation of Intravitreal Aflibercept for the Treatment of Severe Nonproliferative Diabetic Retinopathy: Results From the PANORAMA Randomized Clinical Trial.,NCT02718326[si],WRONG_PMID
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT02777229,31339674,NAMSAL,,WRONG_PMID,Health Care Autonomy of Women Living with HIV.,2019 Aug 29,38156046,Durability of the Efficacy and Safety of Dolutegravir-Based and Low-Dose Efavirenz-Based Regimens for the Initial Treatment of Human Immunodeficiency Virus Type 1 Infection in Cameroon: Week 192 Data of the NAMSAL-ANRS-12313 Study.,NCT02777229[si],WRONG_PMID
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03048422,33812489,IMPAACT 2010,,WRONG_PMID,Psoriasis.,2021 Apr 3,39250651,Markers of Maternal Bone and Renal Toxicity Through 50 Weeks Postpartum: IMPAACT 2010 (VESTED) Trial.,NCT03048422[si],WRONG_PMID
EBOLA_VACCINE_REVIEW.html,NCT02378753,29929129,STRIVE Sierra Leone (rVSV\u0394G-ZEBOV),,WRONG_PMID,Root iron plaque alleviates cadmium toxicity to rice (Oryza sativa) seedlings.,2018 Oct,36208978,"Immunogenicity of rVSVΔG-ZEBOV-GP Ebola vaccine (ERVEBO®) in African clinical trial participants by age, sex, and baseline GP-ELISA titer: A post hoc analysis of three Phase 2/3 trials.",NCT02378753[si],WRONG_PMID
ENSIFENTRINE_COPD_REVIEW.html,NCT04535986,37938943,ENHANCE-1,,WRONG_PMID,A Wearable Device Towards Automatic Detection and Treatment of Opioid Overdose.,2024 Apr,39854278,Ensifentrine in COPD patients taking long-acting bronchodilators: A pooled post-hoc analysis of the ENHANCE-1/2 studies.,NCT04535986[si],WRONG_PMID
ENSIFENTRINE_COPD_REVIEW.html,NCT04542057,37938943,ENHANCE-2,,WRONG_PMID,A Wearable Device Towards Automatic Detection and Treatment of Opioid Overdose.,2024 Apr,39854278,Ensifentrine in COPD patients taking long-acting bronchodilators: A pooled post-hoc analysis of the ENHANCE-1/2 studies.,NCT04542057[si],WRONG_PMID
ESKETAMINE_TRD_REVIEW.html,NCT02418585,30447328,TRANSFORM-2,,WRONG_PMID,A new generation of antidepressants: an update on the pharmaceutical pipeline for novel and rapid-acting therapeutics in mood disorders based on glutamate/GABA neurotransmitter systems.,2019 Feb,41245530,,NCT02418585[si],WRONG_PMID
ESKETAMINE_TRD_REVIEW.html,NCT02422186,30447328,TRANSFORM-3,,WRONG_PMID,A new generation of antidepressants: an update on the pharmaceutical pipeline for novel and rapid-acting therapeutics in mood disorders based on glutamate/GABA neurotransmitter systems.,2019 Feb,34235612,"Effect of Esketamine Nasal Spray on Olfactory Function and Nasal Tolerability in Patients with Treatment-Resistant Depression: Results from Four Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Studies.",NCT02422186[si],WRONG_PMID
FINERENONE_REVIEW.html,NCT01874431,27230798,ARTS-DN,,WRONG_PMID,The next generation of therapeutics for chronic kidney disease.,2016 Aug,40938666,Effect of Finerenone on Morbidity and Mortality in CKD.,NCT01874431[si],WRONG_PMID
FRAGILITY_FRACTURE_REVIEW.html,NCT00321620,29028063,ACTIVE,,WRONG_PMID,"Particle formation and growth from oxalic acid, methanesulfonic acid, trimethylamine and water: a combined experimental and theoretical study.",2017 Oct 25,33270906,Bisphosphonates or RANK-ligand-inhibitors for men with prostate cancer and bone metastases: a network meta-analysis.,NCT00321620[si],WRONG_PMID
GLP1_MASH_REVIEW.html,NCT04166773,38842432,SYNERGY-NASH,,WRONG_PMID,"A qualitative exploration of facilitators and barriers to adopting a healthy lifestyle among Black, Hispanic, and American Indian males with diabetes or at risk for type 2 diabetes.",2024 May-Jul,38856224,Tirzepatide for Metabolic Dysfunction-Associated Steatohepatitis with Liver Fibrosis.,NCT04166773[si],WRONG_PMID
HCC_1L_REVIEW.html,NCT03298451,35687509,HIMALAYA,,WRONG_PMID,Dearomatization [4+2] Cycloaddition of Nonactivated Benzene Derivatives.,2022 Jun 24,41585428,Early Safety Results from the Phase 3b SIERRA Study of Durvalumab and Tremelimumab as First-Line Treatment for Participants with Unresectable Hepatocellular Carcinoma and a Poor Prognosis.,NCT03298451[si],WRONG_PMID
HCC_1L_REVIEW.html,NCT04039607,39245040,CheckMate 9DW,,WRONG_PMID,p16 Immunohistochemical Patterns in Triple-Negative Breast Cancer: Clinical and Genomic Similarities of the p16 Diffuse Pattern to pRB Deficiency.,2025,41981891,A plain language summary of the CheckMate 9DW study: nivolumab in combination with ipilimumab for unresectable hepatocellular carcinoma (advanced liver cancer).,NCT04039607[si],WRONG_PMID
HEMOPHILIA_GENE_THERAPY_REVIEW.html,NCT04370054,39504078,"AFFINE (giroctocogene fitelparvovec, 2024)",,WRONG_PMID,"Complete vaccination coverage of children born in 2017-2018, living in urban areas of state capitals and in 12 inland cities in Brazil: a population-based survey from a retrospective cohort study.",2024,42071505,Secure coherent optical communication via QKD-based parallel SHA-256 stream cipher with dual-randomized affine construction.,AFFINE[ti],WRONG_PMID
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940341,27916343,"GS-US-320-0108 (TAF vs TDF, HBeAg-negative)",,WRONG_PMID,Cardiac autophagic vacuolation in severe X-linked myopathy with excessive autophagy.,2017 Feb,39327857,Eight-year efficacy and safety of tenofovir alafenamide for treatment of chronic hepatitis B virus infection: Final results from two randomised phase 3 trials.,NCT01940341[si],WRONG_PMID
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940471,27989565,"GS-US-320-0110 (TAF vs TDF, HBeAg-positive)",,WRONG_PMID,"Tracking food intake as bites: Effects on cognitive resources, eating enjoyment, and self-control.",2017 Apr 1,39327857,Eight-year efficacy and safety of tenofovir alafenamide for treatment of chronic hepatitis B virus infection: Final results from two randomised phase 3 trials.,NCT01940471[si],WRONG_PMID
HER2_LOW_ADC_REVIEW.html,NCT03734029,35665782,DESTINY-Breast04,,WRONG_PMID,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer.,2022 Jul 7,41062831,"Trastuzumab deruxtecan in HER2-low metastatic breast cancer: long-term survival analysis of the randomized, phase 3 DESTINY-Breast04 trial.",NCT03734029[si],WRONG_PMID
HER2_LOW_ADC_REVIEW.html,NCT05374512,39226544,TROPION-Breast01,,WRONG_PMID,"The SoCAP (Social Communication, Affiliation, and Presence) Taxonomy of Social Features: Scoping Review of Commercially Available eHealth Apps.",2024 Sep 3,37526149,TROPION-Breast02: Datopotamab deruxtecan for locally recurrent inoperable or metastatic triple-negative breast cancer.,NCT05374512[si],WRONG_PMID
HF_QUADRUPLE_NMA_REVIEW.html,NCT03619213,36027562,DELIVER,,WRONG_PMID,REVIVE-ing a Weak Heart - Details Matter.,2022 Oct 13,41170566,Survival Odds to Minimize Risk Heterogeneity Bias in Heart Failure Trials: Application to Dapagliflozin.,NCT03619213[si],WRONG_PMID
HF_QUADRUPLE_NMA_REVIEW.html,NCT04435626,39213592,FINEARTS-HF,,WRONG_PMID,Color Change of Indole Squaraine between Blue and Yellow with Golden Luster.,2024 Sep 17,41995644,"Interchangeability of the KCCQ-12 and KCCQ-23 Across >18,000 Participants Enrolled in 4 Large-Scale Trials of Heart Failure.",NCT04435626[si],WRONG_PMID
HIDRADENITIS_SUPPURATIVA_REVIEW.html,NCT04242446,38762292,BE HEARD I (Kimball 2024),,WRONG_PMID,Evidence of leprosy post exposure prophylaxis in highly endemic regions.,2024 Jun,41107641,Bimekizumab Pain Outcomes in Patients with Hidradenitis Suppurativa: Pooled 48-Week Results from BE HEARD I&II Phase 3 Randomized Clinical Trials.,NCT04242446[si],WRONG_PMID
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02879305,34739192,ASCEND-D,,WRONG_PMID,"Lactic acidosis, a potential toxicity from drug-drug interaction related to concomitant ribociclib and metformin in preexisting renal insufficiency: A case report.",2022 Aug,38383961,Daprodustat and Heart Failure in CKD.,NCT02879305[si],WRONG_PMID
HIFPH_CKD_ANEMIA_REVIEW.html,NCT02052310,33408137,HIMALAYAS,,WRONG_PMID,Adverse Maternal and Fetal Outcomes in a Novel Experimental Model of Pregnancy after Recovery from Renal Ischemia-Reperfusion Injury.,2021 Feb,38363466,Risk Factors for Thromboembolic Events in Patients With Dialysis-Dependent CKD: Pooled Analysis of Four Global Roxadustat Phase 3 Trials.,NCT02052310[si],WRONG_PMID
HIV_ART_FIRSTLINE_REVIEW.html,NCT03122262,31339677,ADVANCE DTG/TAF,,WRONG_PMID,Dolutegravir plus Two Different Prodrugs of Tenofovir to Treat HIV.,2019 Aug 29,38978403,,NCT03122262[si],WRONG_PMID
HIV_ART_FIRSTLINE_REVIEW.html,NCT03122262_TDF,31339677,ADVANCE DTG/TDF,,WRONG_PMID,Dolutegravir plus Two Different Prodrugs of Tenofovir to Treat HIV.,2019 Aug 29,42084188,"Reply to ""A Comment about AI Methods that May Help Advance Pharmacovigilance"".",ADVANCE[ti],WRONG_PMID
HIV_ART_TIMING_REVIEW.html,NCT00867048,26192873,START (INSIGHT 2015),,WRONG_PMID,Initiation of Antiretroviral Therapy in Early Asymptomatic HIV Infection.,2015 Aug 27,36959289,Pneumoproteins and biomarkers of inflammation and coagulation do not predict rapid lung function decline in people living with HIV.,NCT00867048[si],WRONG_PMID
HIV_ART_TIMING_REVIEW.html,NCT00495651,26192872,TEMPRANO (ANRS 12136),,WRONG_PMID,"Characterization of Salmonella enterica Serovar 4,[5],12:i:- Isolates from Korean Food Animals.",2015 Sep,35093007,Association of cellular HIV-1 DNA and virological success of antiretroviral treatment in HIV-infected sub-Saharan African adults.,NCT00495651[si],WRONG_PMID
HIV_ART_TIMING_REVIEW.html,NCT00074581,27424812,HPTN 052 (Cohen 2011/2016),,WRONG_PMID,Antiretroviral Therapy for the Prevention of HIV-1 Transmission.,2016 Sep 1,30157702,,NCT00074581[si],WRONG_PMID
HIV_LA_PREP_REVIEW.html,NCT04925752,39565037,PURPOSE-2,,WRONG_PMID,Further Validation of the Triarchic Model of Grit Scale (TMGS) in Chinese Adolescents.,2025 Jul-Aug,39602624,Twice-Yearly Lenacapavir for HIV Prevention in Men and Gender-Diverse Persons.,NCT04925752[si],WRONG_PMID
HIV_PREP_INJECTABLE_REVIEW.html,NCT03164564,35594553,HPTN 084,,WRONG_PMID,Effect of Antiviral Treatment on Hepatitis B Virus Integration and Hepatocyte Clonal Expansion.,2023 Feb 8,39311597,,NCT03164564[si],WRONG_PMID
HIV_PREP_INJECTABLE_REVIEW.html,NCT02842086,32896293,DISCOVER (F/TAF vs F/TDF),,WRONG_PMID,Azithromycin for severe COVID-19.,2020 Oct 3,39008999,"HIV-1 infection kinetics, drug resistance, and long-term safety of pre-exposure prophylaxis with emtricitabine plus tenofovir alafenamide (DISCOVER): week 144 open-label extension of a randomised, controlled, phase 3 trial.",NCT02842086[si],WRONG_PMID
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,NCT00091936,21345101,SAPiT (Karim 2010+2011),,WRONG_PMID,Association between body-mass index and risk of death in more than 1 million Asians.,2011 Feb 24,22108776,The influence of tuberculosis treatment on efavirenz clearance in patients co-infected with HIV and tuberculosis.,NCT00091936[si],WRONG_PMID
HPV_DOSE_REDUCTION_REVIEW.html,NCT02834637,36410354,DoRIS 1d-vs-3d bivalent,,WRONG_PMID,"Breast Cancer Screening Modalities, Recommendations, and Novel Imaging Techniques.",2023 Feb,41419735,Immunogenicity of one and two doses of Gardasil®9 in Tanzanian girls in the DoRIS Trial.,NCT02834637[si],WRONG_PMID
HPV_VACCINE_SCHEDULES_REVIEW.html,NCT03675256,36475220,KEN SHE single-dose (Barnabas 2022),,WRONG_PMID,Dilated Cardiomyopathy in Children: Early Detection and Treatment.,2022 Nov,38049621,Durability of single-dose HPV vaccination in young Kenyan women: randomized controlled trial 3-year results.,NCT03675256[si],WRONG_PMID
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,NCT00670254,27695822,HYPRESS (Keh 2016),,WRONG_PMID,Alternative Strategies to Inpatient Hospitalization for Acute Medical Conditions: A Systematic Review.,2016 Nov 1,36345013,Corticotropin-stimulated steroid profiles to predict shock development and mortality in sepsis: From the HYPRESS study.,NCT00670254[si],WRONG_PMID
ICU_SEDATION_REVIEW.html,NCT01728558,30815110,SPICE-III (Shehabi 2019),,WRONG_PMID,A systematic comparison of contemporary automatic speech recognition engines for conversational clinical speech.,2018,36215171,Dexmedetomidine and Propofol Sedation in Critically Ill Patients and Dose-associated 90-Day Mortality: A Secondary Cohort Analysis of a Randomized Controlled Trial (SPICE III).,NCT01728558[si],WRONG_PMID
IL23_PSA_REVIEW.html,NCT03675308,35134812,KEEPsAKE-1,,WRONG_PMID,Challenges and Management of Long COVID in Individuals with Hematological Illnesses.,2022,41318485,Efficacy of Risankizumab across distinct PsA phenotypes identified with machine learning analytics using data from biologic DMARD-Naïve patients in two phase 3 clinical trials.,NCT03675308[si],WRONG_PMID
IL23_PSA_REVIEW.html,NCT03671148,35134811,KEEPsAKE-2,,WRONG_PMID,COVID-19 in Patients with Hematologic Malignancies: Outcomes and Options for Treatments.,2022,41318485,,NCT03671148[si],WRONG_PMID
INAVOLISIB_BC_REVIEW.html,NCT04191499,39282919,INAVO120,,WRONG_PMID,Flaxseed oil attenuates PFOS-induced testicular damage by regulating RNA alternative splicing.,2024 Sep 30,40454641,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,NCT04191499[si],WRONG_PMID
IPTACOPAN_IGAN_REVIEW.html,NCT04578834,39259640,APPLAUSE-IgAN,,WRONG_PMID,Effects of Individual Research Practices on fNIRS Signal Quality and Latent Characteristics.,2024,41910396,Iptacopan in IgA Nephropathy - Final 24-Month Data.,NCT04578834[si],WRONG_PMID
KRAS_G12C_REVIEW.html,NCT04303780,37582415,CodeBreaK 200,,WRONG_PMID,Extramitochondrial ATP as [Ca(2+)](m) and cardiolipin content regulator.,2023 Dec,40774040,"Intracranial activity of sotorasib vs docetaxel in pretreated KRAS G12C-mutated advanced non-small cell lung cancer from a global, phase 3, randomized controlled trial.",NCT04303780[si],WRONG_PMID
KRAS_G12C_REVIEW.html,NCT04685135,38937977,KRYSTAL-12,,WRONG_PMID,Clinicogenomic predictors of outcomes in patients with hepatocellular carcinoma treated with immunotherapy.,2024 Oct 3,40783289,"Adagrasib versus docetaxel in KRAS(G12C)-mutated non-small-cell lung cancer (KRYSTAL-12): a randomised, open-label, phase 3 trial.",NCT04685135[si],WRONG_PMID
LIPID_HUB_REVIEW.html,NCT01492361,30415628,REDUCE-IT,,WRONG_PMID,Cardiovascular Risk Reduction with Icosapent Ethyl for Hypertriglyceridemia.,2019 Jan 3,42006413,Cardiovascular outcomes with icosapent ethyl by burden of standard modifiable cardiovascular risk factors in REDUCE-IT.,REDUCE-IT[ti],WRONG_PMID
LIPID_HUB_REVIEW.html,NCT01841944,33191772,OMEMI,,WRONG_PMID,"Effects of n-3 Fatty Acid Supplements in Elderly Patients After Myocardial Infarction: A Randomized, Controlled Trial.",2021 Feb 9,34742136,One year of omega 3 polyunsaturated fatty acid supplementation does not reduce circulating prothrombotic microvesicles in elderly subjects after suffering a myocardial infarction.,NCT01841944[si],WRONG_PMID
LIPID_HUB_REVIEW.html,NCT02944682,36214599,RESPECT-EPA,,WRONG_PMID,Liquefied Petroleum Gas or Biomass for Cooking and Effects on Birth Weight.,2022 Nov 10,41474812,,NCT02944682[si],WRONG_PMID
LU_PSMA_MCRPC_REVIEW.html,NCT03511664,34161051,VISION,,WRONG_PMID,Lutetium-177-PSMA-617 for Metastatic Castration-Resistant Prostate Cancer.,2021 Sep 16,39162634,Quantitative (68)Ga-PSMA-11 PET and Clinical Outcomes in Metastatic Castration-resistant Prostate Cancer Following (177)Lu-PSMA-617 (VISION Trial).,NCT03511664[si],WRONG_PMID
MALARIA_VACCINES_REVIEW.html,NCT04704830,38346856,R21 Phase 3,,WRONG_PMID,Statement of Retraction: Liver X Receptors Activation Attenuates Ischemia Reperfusion Injury of Liver Graft in Rats.,2024 Dec,38310910,"Safety and efficacy of malaria vaccine candidate R21/Matrix-M in African children: a multicentre, double-blind, randomised, phase 3 trial.",NCT04704830[si],WRONG_PMID
MDR_TB_SHORTENED_REVIEW.html,NCT02589782,36546625,TB-PRACTECAL (BPaLM vs SOC),,WRONG_PMID,"A 24-Week, All-Oral Regimen for Rifampin-Resistant Tuberculosis.",2022 Dec 22,38842323,How much should we still worry about QTc prolongation in rifampicin-resistant tuberculosis? ECG findings from TB-PRACTECAL clinical trial.,NCT02589782[si],WRONG_PMID
MDR_TB_SHORTENED_REVIEW.html,NCT03086486,36167739,ZeNix (BPaL dose-finding),,WRONG_PMID,"Corrigendum to ""D-578, an orally active triple monoamine reuptake inhibitor, displays antidepressant and anti-PTSD like effects in rats"" [Eur. J. Pharmacol. 862 (2019) 172632].",2022 Oct 15,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.,NCT03086486[si],WRONG_PMID
MDRTB_BPAL_REVIEW.html,NCT02333799,32130813,Nix-TB,,WRONG_PMID,Treatment of Highly Drug-Resistant Pulmonary Tuberculosis.,2020 Mar 5,36804834,Analysis of Dynamic Efficacy Endpoints of the Nix-TB Trial.,NCT02333799[si],WRONG_PMID
MDRTB_BPAL_REVIEW.html,NCT03086486,36099496,ZeNix,,WRONG_PMID,Prophylaxis of Post-Endoscopic Retrograde Cholangiopancreatography Pancreatitis Using Temporary Pancreatic Stents Versus Rectal Nonsteroidal Anti-inflammatory Drugs: A Randomized Controlled Trial.,2022 Jul 1,36053506,,NCT03086486[si],WRONG_PMID
MDRTB_BPAL_REVIEW.html,NCT02589782,36342063,TB-PRACTECAL,,WRONG_PMID,Dietary ingredient change induces a transient MyD88-dependent mucosal enteric glial cell response and promotes obesity.,2023 Dec,38842323,How much should we still worry about QTc prolongation in rifampicin-resistant tuberculosis? ECG findings from TB-PRACTECAL clinical trial.,NCT02589782[si],WRONG_PMID
MEDITERRANEAN_DIET_CV_REVIEW.html,NCT00924937,35525596,CORDIOPREV (Delgado-Lista 2022),,WRONG_PMID,Target-triggered cascade signal amplification for sensitive electrochemical detection of SARS-CoV-2 with clinical application.,2022 May 22,41611577,Incidence of major adverse cardiovascular events decreases with greater adherence to both Mediterranean and low-fat dietary patterns in secondary prevention patients: a randomized controlled trial.,NCT00924937[si],WRONG_PMID
MEDITERRANEAN_DIET_CV_REVIEW.html,LEGACY-ISRCTN-89898870-PREDIMEDPLUS,38924767,PREDIMED-Plus (Salas-Salvado 2024),,WRONG_PMID,Accidental uterine extensions in cesarean deliveries - outcome of subsequent pregnancy.,2024 Sep 25,,,,WRONG_PMID
