file,nct,pmid,claimed_name,claimed_year,status,esummary_title,esummary_year,suggested_pmid,suggested_title,suggested_query,status_v3,new_pmid,new_title
FRAGILITY_FRACTURE_REVIEW.html,NCT00321620,29028063,ACTIVE,,WRONG_PMID,"Particle formation and growth from oxalic acid, methanesulfonic acid, trimethylamine and water: a combined experimental and theoretical study.",2017 Oct 25,33270906,Bisphosphonates or RANK-ligand-inhibitors for men with prostate cancer and bone metastases: a network meta-analysis.,NCT00321620[si],WRONG_PMID,21353695,"Denosumab versus zoledronic acid for treatment of bone metastases in men with castration-resistant prostate cancer: a randomised, double-blind study."
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940341,27916343,"GS-US-320-0108 (TAF vs TDF, HBeAg-negative)",,WRONG_PMID,Cardiac autophagic vacuolation in severe X-linked myopathy with excessive autophagy.,2017 Feb,39327857,,NCT01940341[si],WRONG_PMID,28404092,"Tenofovir alafenamide versus tenofovir disoproxil fumarate for the treatment of patients with HBeAg-negative chronic hepatitis B virus infection: a randomised, double-blind, phase 3, non-inferiority trial."
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940471,27989565,"GS-US-320-0110 (TAF vs TDF, HBeAg-positive)",,WRONG_PMID,"Tracking food intake as bites: Effects on cognitive resources, eating enjoyment, and self-control.",2017 Apr 1,39327857,Eight-year efficacy and safety of tenofovir alafenamide for treatment of chronic hepatitis B virus infection: Final results from two randomised phase 3 trials.,NCT01940471[si],WRONG_PMID,28404091,"Tenofovir alafenamide versus tenofovir disoproxil fumarate for the treatment of HBeAg-positive chronic hepatitis B virus infection: a randomised, double-blind, phase 3, non-inferiority trial."
HER2_LOW_ADC_REVIEW.html,NCT05374512,39226544,TROPION-Breast01,,WRONG_PMID,"The SoCAP (Social Communication, Affiliation, and Presence) Taxonomy of Social Features: Scoping Review of Commercially Available eHealth Apps.",2024 Sep 3,37526149,TROPION-Breast02: Datopotamab deruxtecan for locally recurrent inoperable or metastatic triple-negative breast cancer.,NCT05374512[si],WRONG_PMID,37526149,TROPION-Breast02: Datopotamab deruxtecan for locally recurrent inoperable or metastatic triple-negative breast cancer.
HIDRADENITIS_SUPPURATIVA_REVIEW.html,NCT04242446,38762292,BE HEARD I (Kimball 2024),,WRONG_PMID,Evidence of leprosy post exposure prophylaxis in highly endemic regions.,2024 Jun,41107641,Bimekizumab Pain Outcomes in Patients with Hidradenitis Suppurativa: Pooled 48-Week Results from BE HEARD I&II Phase 3 Randomized Clinical Trials.,NCT04242446[si],WRONG_PMID,38795716,"Efficacy and safety of bimekizumab in patients with moderate-to-severe hidradenitis suppurativa (BE HEARD I and BE HEARD II): two 48-week, randomised, double-blind, placebo-controlled, multicentre phase 3 trials."
HIV_ART_TIMING_REVIEW.html,NCT00867048,26192873,START (INSIGHT 2015),,WRONG_PMID,Initiation of Antiretroviral Therapy in Early Asymptomatic HIV Infection.,2015 Aug 27,36959289,Pneumoproteins and biomarkers of inflammation and coagulation do not predict rapid lung function decline in people living with HIV.,NCT00867048[si],WRONG_PMID,25711328,Factors associated with neurocognitive test performance at baseline: a substudy of the INSIGHT Strategic Timing of AntiRetroviral Treatment (START) trial.
HIV_ART_TIMING_REVIEW.html,NCT00495651,26192872,TEMPRANO (ANRS 12136),,WRONG_PMID,"Characterization of Salmonella enterica Serovar 4,[5],12:i:- Isolates from Korean Food Animals.",2015 Sep,35093007,Association of cellular HIV-1 DNA and virological success of antiretroviral treatment in HIV-infected sub-Saharan African adults.,NCT00495651[si],WRONG_PMID,23639243,Early upper digestive tract side effects of zidovudine with tenofovir plus emtricitabine in West African adults with high CD4 counts.
HIV_ART_TIMING_REVIEW.html,NCT00074581,27424812,HPTN 052 (Cohen 2011/2016),,WRONG_PMID,Antiretroviral Therapy for the Prevention of HIV-1 Transmission.,2016 Sep 1,30157702,Participant satisfaction with clinical trial experience and post-trial transitioning to HIV care in Kenya.,NCT00074581[si],WRONG_PMID,21767103,Prevention of HIV-1 infection with early antiretroviral therapy.
HIV_LA_PREP_REVIEW.html,NCT04994509,39046268,PURPOSE-1,,WRONG_PMID,"Synthesis of fluorinated spiro-1,3-oxazines and thiazines via Selectfluor-mediated intramolecular cyclization.",2024 Aug 14,39046157,Twice-Yearly Lenacapavir or Daily F/TAF for HIV Prevention in Cisgender Women.,NCT04994509[si],WRONG_PMID,39046157,Twice-Yearly Lenacapavir or Daily F/TAF for HIV Prevention in Cisgender Women.
HIV_PREP_INJECTABLE_REVIEW.html,NCT03164564,35594553,HPTN 084,,WRONG_PMID,Effect of Antiviral Treatment on Hepatitis B Virus Integration and Hepatocyte Clonal Expansion.,2023 Feb 8,39311597,Pharmacologic evaluation of delayed long-acting cabotegravir administration among cisgender women in HPTN 084.,NCT03164564[si],WRONG_PMID,35378077,"Cabotegravir for the prevention of HIV-1 in women: results from HPTN 084, a phase 3, randomised clinical trial."
HIV_PREP_INJECTABLE_REVIEW.html,NCT02842086,32896293,DISCOVER (F/TAF vs F/TDF),,WRONG_PMID,Azithromycin for severe COVID-19.,2020 Oct 3,39008999,"HIV-1 infection kinetics, drug resistance, and long-term safety of pre-exposure prophylaxis with emtricitabine plus tenofovir alafenamide (DISCOVER): week 144 open-label extension of a randomised, controlled, phase 3 trial.",NCT02842086[si],WRONG_PMID,32711800,"Emtricitabine and tenofovir alafenamide vs emtricitabine and tenofovir disoproxil fumarate for HIV pre-exposure prophylaxis (DISCOVER): primary results from a randomised, double-blind, multicentre, active-controlled, phase 3, non-inferiority trial."
HIV_TB_COINFECTION_ART_TIMING_REVIEW.html,NCT00091936,21345101,SAPiT (Karim 2010+2011),,WRONG_PMID,Association between body-mass index and risk of death in more than 1 million Asians.,2011 Feb 24,22108776,The influence of tuberculosis treatment on efavirenz clearance in patients co-infected with HIV and tuberculosis.,NCT00091936[si],WRONG_PMID,22108776,The influence of tuberculosis treatment on efavirenz clearance in patients co-infected with HIV and tuberculosis.
HPV_DOSE_REDUCTION_REVIEW.html,NCT03675256,35693867,KEN-SHE bivalent,,WRONG_PMID,The Influence of Phototherapy on Recovery From Exercise-Induced Muscle Damage.,2022,38049621,Durability of single-dose HPV vaccination in young Kenyan women: randomized controlled trial 3-year results.,NCT03675256[si],WRONG_PMID,32078808,Prioritisation of the human papillomavirus vaccine in a time of constrained supply.
HPV_DOSE_REDUCTION_REVIEW.html,NCT02834637,36410354,DoRIS 1d-vs-3d bivalent,,WRONG_PMID,"Breast Cancer Screening Modalities, Recommendations, and Novel Imaging Techniques.",2023 Feb,41419735,Immunogenicity of one and two doses of Gardasil®9 in Tanzanian girls in the DoRIS Trial.,NCT02834637[si],WRONG_PMID,36113531,"Immunogenicity and safety of one-dose human papillomavirus vaccine compared with two or three doses in Tanzanian girls (DoRIS): an open-label, randomised, non-inferiority trial."
HPV_VACCINE_SCHEDULES_REVIEW.html,NCT03675256,36475220,KEN SHE single-dose (Barnabas 2022),,WRONG_PMID,Dilated Cardiomyopathy in Children: Early Detection and Treatment.,2022 Nov,38049621,Durability of single-dose HPV vaccination in young Kenyan women: randomized controlled trial 3-year results.,NCT03675256[si],WRONG_PMID,32078808,Prioritisation of the human papillomavirus vaccine in a time of constrained supply.
HYDROCORTISONE_SEPTIC_SHOCK_REVIEW.html,NCT00670254,27695822,HYPRESS (Keh 2016),,WRONG_PMID,Alternative Strategies to Inpatient Hospitalization for Acute Medical Conditions: A Systematic Review.,2016 Nov 1,36345013,Corticotropin-stimulated steroid profiles to predict shock development and mortality in sepsis: From the HYPRESS study.,NCT00670254[si],WRONG_PMID,27695824,Effect of Hydrocortisone on Development of Shock Among Patients With Severe Sepsis: The HYPRESS Randomized Clinical Trial.
ICU_SEDATION_REVIEW.html,NCT01728558,30815110,SPICE-III (Shehabi 2019),,WRONG_PMID,A systematic comparison of contemporary automatic speech recognition engines for conversational clinical speech.,2018,36215171,Dexmedetomidine and Propofol Sedation in Critically Ill Patients and Dose-associated 90-Day Mortality: A Secondary Cohort Analysis of a Randomized Controlled Trial (SPICE III).,NCT01728558[si],WRONG_PMID,29926288,Allostasis and sedation practices in intensive care evaluation: an observational pilot study.
IPTACOPAN_IGAN_REVIEW.html,NCT04578834,39259640,APPLAUSE-IgAN,,WRONG_PMID,Effects of Individual Research Practices on fNIRS Signal Quality and Latent Characteristics.,2024,41910396,Iptacopan in IgA Nephropathy - Final 24-Month Data.,NCT04578834[si],WRONG_PMID,35675911,How I Treat IgA Nephropathy.
KRAS_G12C_REVIEW.html,NCT04685135,38937977,KRYSTAL-12,,WRONG_PMID,Clinicogenomic predictors of outcomes in patients with hepatocellular carcinoma treated with immunotherapy.,2024 Oct 3,40783289,"Adagrasib versus docetaxel in KRAS(G12C)-mutated non-small-cell lung cancer (KRYSTAL-12): a randomised, open-label, phase 3 trial.",NCT04685135[si],WRONG_PMID,40783289,"Adagrasib versus docetaxel in KRASG12C-mutated non-small-cell lung cancer (KRYSTAL-12): a randomised, open-label, phase 3 trial."
LIPID_HUB_REVIEW.html,NCT01841944,33191772,OMEMI,,WRONG_PMID,"Effects of n-3 Fatty Acid Supplements in Elderly Patients After Myocardial Infarction: A Randomized, Controlled Trial.",2021 Feb 9,34742136,One year of omega 3 polyunsaturated fatty acid supplementation does not reduce circulating prothrombotic microvesicles in elderly subjects after suffering a myocardial infarction.,NCT01841944[si],WRONG_PMID,24928284,Effects of ω3 supplementation in elderly patients with acute myocardial infarction: design of a prospective randomized placebo controlled study.
LIPID_HUB_REVIEW.html,NCT02944682,36214599,RESPECT-EPA,,WRONG_PMID,Liquefied Petroleum Gas or Biomass for Cooking and Effects on Birth Weight.,2022 Nov 10,41474812,Provision of a liquefied petroleum gas cookstove and fuel during pregnancy and infancy and linear growth trajectories between birth and 12 months: Evidence from the multi-center Household Air Pollution Intervention Network (HAPIN) trial.,NCT02944682[si],WRONG_PMID,32994243,Designing a comprehensive behaviour change intervention to promote and monitor exclusive use of liquefied petroleum gas stoves for the Household Air Pollution Intervention Network (HAPIN) trial.
MALARIA_VACCINES_REVIEW.html,NCT04704830,38346856,R21 Phase 3,,WRONG_PMID,Statement of Retraction: Liver X Receptors Activation Attenuates Ischemia Reperfusion Injury of Liver Graft in Rats.,2024 Dec,38310910,"Safety and efficacy of malaria vaccine candidate R21/Matrix-M in African children: a multicentre, double-blind, randomised, phase 3 trial.",NCT04704830[si],WRONG_PMID,38310910,"Safety and efficacy of malaria vaccine candidate R21/Matrix-M in African children: a multicentre, double-blind, randomised, phase 3 trial."
MDR_TB_SHORTENED_REVIEW.html,NCT03086486,36167739,ZeNix (BPaL dose-finding),,WRONG_PMID,"Corrigendum to ""D-578, an orally active triple monoamine reuptake inhibitor, displays antidepressant and anti-PTSD like effects in rats"" [Eur. J. Pharmacol. 862 (2019) 172632].",2022 Oct 15,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.,NCT03086486[si],WRONG_PMID,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.
MDRTB_BPAL_REVIEW.html,NCT03086486,36099496,ZeNix,,WRONG_PMID,Prophylaxis of Post-Endoscopic Retrograde Cholangiopancreatography Pancreatitis Using Temporary Pancreatic Stents Versus Rectal Nonsteroidal Anti-inflammatory Drugs: A Randomized Controlled Trial.,2022 Jul 1,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.,NCT03086486[si],WRONG_PMID,36053506,Bedaquiline-Pretomanid-Linezolid Regimens for Drug-Resistant Tuberculosis.
MEDITERRANEAN_DIET_CV_REVIEW.html,NCT00924937,35525596,CORDIOPREV (Delgado-Lista 2022),,WRONG_PMID,Target-triggered cascade signal amplification for sensitive electrochemical detection of SARS-CoV-2 with clinical application.,2022 May 22,41611577,Incidence of major adverse cardiovascular events decreases with greater adherence to both Mediterranean and low-fat dietary patterns in secondary prevention patients: a randomized controlled trial.,NCT00924937[si],WRONG_PMID,32903262,Mediterranean diet and endothelial function in patients with coronary heart disease: An analysis of the CORDIOPREV randomized controlled trial.
MIGRAINE_ACUTE_REVIEW.html,NCT03235479,31821278,ACHIEVE II,,WRONG_PMID,Post-operative periprosthetic humeral fractures after reverse shoulder arthroplasty: a review of the literature.,2019 Dec 5,41652666,"Efficacy and safety of rimegepant for the acute treatment of migraine in Black or African American adults: A post hoc pooled subgroup analysis from three randomized, placebo-controlled clinical trials.",NCT03235479[si],WRONG_PMID,36739511,Efficacy of rimegepant for the acute treatment of migraine based on triptan treatment experience: Pooled results from three phase 3 randomized clinical trials.
POLYCYTHEMIA_VERA_REVIEW.html,NCT01949805,31816374,PROUD-PV (Gisslinger 2020),,WRONG_PMID,Fabrication of chitosan/agarose scaffolds containing extracellular matrix for tissue engineering applications.,2020 Jan 15,30287855,Ropeginterferon alpha-2b targets JAK2V617F-positive polycythemia vera cells in vitro and in vivo.,NCT01949805[si],WRONG_PMID,30287855,Ropeginterferon alpha-2b targets JAK2V617F-positive polycythemia vera cells in vitro and in vivo.
POSTPARTUM_HEMORRHAGE_REVIEW.html,NCT04341662,37224076,E-MOTIVE (PPH bundle),,WRONG_PMID,Establishing the Australian National Endometriosis Clinical and Scientific Trials (NECST) Registry: A protocol paper.,2023 May 1,38844798,A cost-effectiveness analysis of early detection and bundled treatment of postpartum hemorrhage alongside the E-MOTIVE trial.,NCT04341662[si],WRONG_PMID,34261508,Formative research to design an implementation strategy for a postpartum hemorrhage initial response treatment bundle (E-MOTIVE): study protocol.
PPH_BUNDLE_REVIEW.html,NCT03475342,37516131,WOMAN-2,,WRONG_PMID,A new research agenda to combat antimicrobial resistance.,2023 Aug,39461792,"The effect of tranexamic acid on postpartum bleeding in women with moderate and severe anaemia (WOMAN-2): an international, randomised, double-blind, placebo-controlled trial.",NCT03475342[si],WRONG_PMID,30594227,"Tranexamic acid for the prevention of postpartum bleeding in women with anaemia: study protocol for an international, randomised, double-blind, placebo-controlled trial."
PPH_BUNDLE_REVIEW.html,NCT04341662,37158612,E-MOTIVE,,WRONG_PMID,Clear aligner therapy in children: case reports of phase I treatment.,2023 Feb,38844798,A cost-effectiveness analysis of early detection and bundled treatment of postpartum hemorrhage alongside the E-MOTIVE trial.,NCT04341662[si],WRONG_PMID,34261508,Formative research to design an implementation strategy for a postpartum hemorrhage initial response treatment bundle (E-MOTIVE): study protocol.
ROTAVIRUS_VACCINE_AFRICA_REVIEW.html,NCT02145000,28327203,Rotasiil ROSE Niger (Isanaka 2017),,WRONG_PMID,An appraisal of analytical tools used in predicting clinical outcomes following radiation therapy treatment of men with prostate cancer: a systematic review.,2017 Mar 21,35500028,Evaluation of multiple micronutrient supplementation and medium-quantity lipid-based nutrient supplementation in pregnancy on child development in rural Niger: A secondary analysis of a cluster randomized controlled trial.,NCT02145000[si],WRONG_PMID,28328346,"Efficacy of a Low-Cost, Heat-Stable Oral Rotavirus Vaccine in Niger."
TARLATAMAB_SCLC_REVIEW.html,NCT05060016,37861213,DeLLphi-301,,WRONG_PMID,Blunt abdominal trauma: watch and wait.,2023 Dec 1,40908346,Asian Subgroup Analysis of Patients in the Phase 2 DeLLphi-301 Study of Tarlatamab for Previously Treated Small Cell Lung Cancer.,NCT05060016[si],WRONG_PMID,37861218,Tarlatamab for Patients with Previously Treated Small-Cell Lung Cancer.
TB_DRUG_SUSCEPTIBLE_4MO_REVIEW.html,NCT02410772,33951360,Study 31 / A5349 (4-month rifapentine-moxifloxacin),,OK,Four-Month Rifapentine Regimens with or without Moxifloxacin for Tuberculosis.,2021 May 6,,,,WRONG_PMID,31981713,High-dose rifapentine with or without moxifloxacin for shortening treatment of pulmonary tuberculosis: Study protocol for TBTC study 31/ACTG A5349 phase 3 clinical trial.
VITILIGO_REVIEW.html,NCT04927975,38744278,UpA-Vitiligo Phase 2/3 (Passeron 2024),,WRONG_PMID,Targeting the HSP47-collagen axis inhibits brain metastasis by reversing M2 microglial polarization and restoring anti-tumor immunity.,2024 May 21,39475960,Psychometric Properties and Meaningful Change Thresholds of the Vitiligo Area Scoring Index.,NCT04927975[si],WRONG_PMID,38873632,"Once-daily upadacitinib versus placebo in adults with extensive non-segmental vitiligo: a phase 2, multicentre, randomised, double-blind, placebo-controlled, dose-ranging study."
