source	record_id	title	journal_or_status	year_or_start	url	stage	decision	axis_failed	quantity_reported_instead	synthesis_candidate
PubMed	41396086	Sacubitril-Valsartan vs Enalapril in Heart Failure Due to Chagas Disease: Primary Results of ANSWER-HF Randomized Trial	Journal of the American College of Cardiology	2026	https://pubmed.ncbi.nlm.nih.gov/41396086/	FullText	exclude	OUTCOME	primary: between-group difference in LVEF change at 6 months (0.9 pp, 95% CI -0.9 to 2.6). Secondary: WIN RATIO 1.80 (1.27-2.63) over a hierarchical composite. No time-to-first-event hazard ratio for the composite.	N
PubMed	41335448	Sacubitril/Valsartan vs Enalapril in Heart Failure Due to Chagas Disease: An Open-Label, Multicenter Randomized Clinical Trial (PARACHUTE-HF)	JAMA	2026	https://pubmed.ncbi.nlm.nih.gov/41335448/	FullText	exclude	OUTCOME	WIN RATIO 1.52 (1.28-1.82) over a hierarchical composite of CV death, HF hospitalisation, then 12-week NT-proBNP change. No time-to-first-event hazard ratio for the composite.	N
PubMed	41085477	Reply to the letter regarding the article Sacubitril/valsartan versus enalapril in chronic Chagas cardiomyopathy with heart failure: Baseline characteristics of the PARACHUTE-HF trial	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/41085477/	TiAb	exclude	RANDOMISATION	correspondence	N
PubMed	41085412	Letter regarding the article Sacubitril/valsartan versus enalapril in chronic Chagas cardiomyopathy with heart failure: Baseline characteristics of the PARACHUTE-HF trial	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/41085412/	TiAb	exclude	RANDOMISATION	correspondence	N
PubMed	40916703	Sacubitril/valsartan versus enalapril in chronic Chagas cardiomyopathy with heart failure: Baseline characteristics of the PARACHUTE-HF trial	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/40916703/	TiAb	exclude	OUTCOME	baseline characteristics only; no effect estimate of any kind	N
PubMed	40839760	Sacubitril/valsartan and quality of life assessed using the EQ-5D-3L level sum score in patients with HFrEF and HFmrEF/HFpEF	European heart journal. Cardiovascular pharmacotherapy	2025	https://pubmed.ncbi.nlm.nih.gov/40839760/	TiAb	exclude	OUTCOME	EQ-5D-3L level sum score change	N
PubMed	40835369	Evidentiary Landscape of Heart Failure Therapies, Regulatory Decisions, and Translation Into Guidelines	Journal of the American College of Cardiology	2025	https://pubmed.ncbi.nlm.nih.gov/40835369/	TiAb	exclude	RANDOMISATION	narrative review	N
PubMed	40755965	Comparative renal effects of angiotensin receptor neprilysin inhibitors and ACEi/ARB: a systematic review and meta-analysis	Clinical kidney journal	2025	https://pubmed.ncbi.nlm.nih.gov/40755965/	TiAb	exclude	RANDOMISATION	pooled renal outcome estimates	Y
PubMed	40678912	Changes in cardiac structure and function are associated with health-related quality of life in HFrEF: Results from the EVALUATE-HF trial	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/40678912/	TiAb	exclude	OUTCOME	association between echocardiographic change and KCCQ score	N
PubMed	40510943	Evaluation of the 6-Month Effect of Sacubitril-Valsartan Compared to ACEI and ARB on LVEF in Heart Failure Patients: A Double-Blind Randomized Clinical Trial	Journal of pharmacy and bioallied sciences	2025	https://pubmed.ncbi.nlm.nih.gov/40510943/	TiAb	exclude	OUTCOME	change in LVEF at 6 months	N
PubMed	40450497	Effects of Sacubitril/Valsartan on Renal Function in Adults With Heart Failure: A Systematic Review and Meta-Analysis of Randomised Controlled Trials	Heart, lung and circulation	2025	https://pubmed.ncbi.nlm.nih.gov/40450497/	TiAb	exclude	RANDOMISATION	pooled renal function estimates	Y
PubMed	40389107	Uptitration of Sacubitril/Valsartan in Acute Heart Failure: Insight from the PREMIER Study	Journal of cardiac failure	2026	https://pubmed.ncbi.nlm.nih.gov/40389107/	TiAb	exclude	COMPARATOR	PREMIER randomised against standard treatment, not enalapril	N
PubMed	40353367	Association between NT-proBNP changes and clinical outcomes in paediatric patients with heart failure: Insights from PANORAMA-HF and PARADIGM-HF	ESC heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/40353367/	TiAb	exclude	OUTCOME	association between NT-proBNP change and outcomes	N
PubMed	40319618	Cost-Effectiveness Analysis of ARNI Compared With ACEI Among Patients With HFrEF in Malaysia	Value in health regional issues	2025	https://pubmed.ncbi.nlm.nih.gov/40319618/	TiAb	exclude	RANDOMISATION	incremental cost-effectiveness ratio	N
PubMed	40268473	Effects of Sacubitril/Valsartan on Myocardial Tissue in Heart Failure With Left Ventricular Ejection Fraction Below 50	Circulation journal	2025	https://pubmed.ncbi.nlm.nih.gov/40268473/	TiAb	exclude	OUTCOME	myocardial tissue characterisation measures	N
PubMed	40265590	Comprehensive Analysis of the Effects of Sacubitril/Valsartan According to Sex Among Patients With HFrEF in PARADIGM-HF	Journal of the American Heart Association	2025	https://pubmed.ncbi.nlm.nih.gov/40265590/	TiAb	exclude	OUTCOME	sex-subgroup hazard ratios, not the trial-level estimand; secondary report of PARADIGM-HF	N
PubMed	40088233	Effects of Sacubitril/Valsartan According to Natriuretic Peptide Levels in Patients Enrolled in PARADIGM-HF and PARAGON-HF	JACC. Heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/40088233/	TiAb	exclude	OUTCOME	natriuretic-peptide subgroup estimates pooled across an HFrEF and an HFpEF trial	N
PubMed	39970741	Sacubitril/Valsartan vs ACE Inhibitors or ARBs: A Systematic Review and Meta-Analysis of Randomized Trials	JACC. Advances	2025	https://pubmed.ncbi.nlm.nih.gov/39970741/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	39927747	Impact of heart failure medications on cognitive function: A systematic review	European journal of clinical investigation	2025	https://pubmed.ncbi.nlm.nih.gov/39927747/	TiAb	exclude	RANDOMISATION	narrative synthesis of cognitive outcomes	Y
PubMed	39888167	Real-world comparative effectiveness of sacubitril/valsartan versus RAS inhibition alone in patients with de novo heart failure	ESC heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39888167/	TiAb	exclude	RANDOMISATION	adjusted estimates from a non-randomised cohort	N
PubMed	39792134	Sacubitril/valsartan versus valsartan initiation in patients naive to renin-angiotensin system inhibitors: Insights from PARAGLIDE-HF	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39792134/	TiAb	exclude	COMPARATOR	comparator is valsartan	N
PubMed	39661383	Angiotensin Receptor-Neprilysin Inhibitor Prescribing Patterns in Patients Hospitalized for Heart Failure	JAMA cardiology	2025	https://pubmed.ncbi.nlm.nih.gov/39661383/	TiAb	exclude	RANDOMISATION	prescribing proportions	N
PubMed	39563094	Effects of sacubitril/valsartan according to background beta-blocker therapy in patients with HFrEF: Insights from PARADIGM-HF	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39563094/	TiAb	exclude	OUTCOME	background-therapy subgroup estimates; secondary report of PARADIGM-HF	N
PubMed	39544776	Enhancing ventricular remodeling and cardiac function in post-acute myocardial infarction with sacubitril/valsartan	American journal of translational research	2024	https://pubmed.ncbi.nlm.nih.gov/39544776/	TiAb	exclude	POPULATION	post-acute myocardial infarction, not chronic HFrEF	N
PubMed	39473218	The in-hospital administration of sacubitril/valsartan in acute myocardial infarction: A meta-analysis	ESC heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39473218/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	39439294	Visit-to-visit changes in heart rate in heart failure: A pooled participant-level analysis of PARADIGM-HF and PARAGON-HF	European journal of heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39439294/	TiAb	exclude	OUTCOME	heart-rate change and its association with outcome	N
PubMed	39387766	Race in Heart Failure: A Pooled Participant-Level Analysis of the Global PARADIGM-HF and PARAGON-HF Trials	JACC. Heart failure	2025	https://pubmed.ncbi.nlm.nih.gov/39387766/	TiAb	exclude	OUTCOME	race-subgroup estimates pooled across an HFrEF and an HFpEF trial	N
PubMed	39320292	Asymptomatic vs Symptomatic Hypotension With Sacubitril/Valsartan in HFrEF in PARADIGM-HF	Journal of the American College of Cardiology	2024	https://pubmed.ncbi.nlm.nih.gov/39320292/	TiAb	exclude	OUTCOME	hypotension event rates	N
PubMed	39319469	Sacubitril/Valsartan in Pediatric Heart Failure (PANORAMA-HF): A Randomized, Multicenter, Double-Blind Trial	Circulation	2024	https://pubmed.ncbi.nlm.nih.gov/39319469/	FullText	exclude	POPULATION	children 1 month to <18 years. Also fails OUTCOME: global rank endpoint, Mann-Whitney probability 0.52 (0.47-0.58), MW odds 0.91 (0.72-1.14).	N
PubMed	39284545	Incidence and risk factors of hypotension-related adverse events among Japanese patients receiving sacubitril/valsartan or enalapril: PARALLEL-HF	Journal of cardiology	2025	https://pubmed.ncbi.nlm.nih.gov/39284545/	TiAb	exclude	OUTCOME	hypotension-related adverse event incidence	N
PubMed	39262640	Influenza Vaccination and Cardiovascular Events in Japanese Patients With Heart Failure - Findings From the PARALLEL-HF Trial	Circulation reports	2024	https://pubmed.ncbi.nlm.nih.gov/39262640/	TiAb	exclude	OUTCOME	vaccination-stratified event rates	N
PubMed	39260836	Comparative effects of sacubitril/valsartan and ACEI/ARB on endothelial function and arterial stiffness: a protocol for systematic review and meta-analysis	BMJ open	2024	https://pubmed.ncbi.nlm.nih.gov/39260836/	TiAb	exclude	RANDOMISATION	protocol for a synthesis; no results	Y
PubMed	39217458	Therapeutic Effects of Heart Failure Medical Therapies on Standardized Kidney Outcomes: IPD Analysis of 6 Randomized Clinical Trials	Circulation	2024	https://pubmed.ncbi.nlm.nih.gov/39217458/	TiAb	exclude	OUTCOME	standardised kidney composite outcomes	Y
PubMed	39215531	In-hospital initiation of angiotensin receptor-neprilysin inhibition in acute heart failure: the PREMIER trial	European heart journal	2024	https://pubmed.ncbi.nlm.nih.gov/39215531/	TiAb	exclude	COMPARATOR	randomised against standard treatment, not enalapril	N
PubMed	39210725	Effects of Sacubitril/Valsartan on All-Cause Hospitalizations in Heart Failure: Post Hoc Analysis of PARADIGM-HF and PARAGON-HF	JAMA cardiology	2024	https://pubmed.ncbi.nlm.nih.gov/39210725/	TiAb	exclude	OUTCOME	all-cause hospitalisation rates	N
PubMed	39163041	Sacubitril-Valsartan in Patients Requiring Hemodialysis	JAMA network open	2024	https://pubmed.ncbi.nlm.nih.gov/39163041/	TiAb	exclude	POPULATION	haemodialysis population	N
PubMed	39111953	Sacubitril/Valsartan Versus Enalapril in Chronic Chagas Cardiomyopathy: Rationale and Design of the PARACHUTE-HF Trial	JACC. Heart failure	2024	https://pubmed.ncbi.nlm.nih.gov/39111953/	TiAb	exclude	OUTCOME	trial design description; no effect estimate	N
PubMed	38938237	Sacubitril/Valsartan and Cognitive Outcomes in Heart Failure With Reduced Ejection Fraction	JACC. Advances	2023	https://pubmed.ncbi.nlm.nih.gov/38938237/	TiAb	exclude	OUTCOME	cognitive outcome measures	N
PubMed	38904251	Aptamer Proteomics for Biomarker Discovery in HFpEF: The PARAGON-HF Proteomic Substudy	Journal of the American Heart Association	2024	https://pubmed.ncbi.nlm.nih.gov/38904251/	TiAb	exclude	POPULATION	HFpEF	N
PubMed	38863978	Effect of sacubitril-valsartan on left ventricular remodeling in patients with acute myocardial infarction after primary PCI: a systematic review and meta-analysis	Frontiers in pharmacology	2024	https://pubmed.ncbi.nlm.nih.gov/38863978/	TiAb	exclude	RANDOMISATION	pooled remodelling estimates	Y
PubMed	38842957	Sacubitril/Valsartan in Patients With Heart Failure and Deterioration in eGFR to <30 mL/min/1.73 m2	JACC. Heart failure	2024	https://pubmed.ncbi.nlm.nih.gov/38842957/	TiAb	exclude	OUTCOME	renal-function subgroup estimates	N
PubMed	38764991	Is Sacubitril/Valsartan a Superior Agent in Heart Failure With Reduced Ejection Fraction? A Review of Randomized Comparative Trials	Hospital pharmacy	2024	https://pubmed.ncbi.nlm.nih.gov/38764991/	TiAb	exclude	RANDOMISATION	narrative review of trials	Y
PubMed	38705701	Sacubitril-valsartan vs ACE/ARB in pediatric heart failure: A retrospective cohort study	Journal of heart and lung transplantation	2024	https://pubmed.ncbi.nlm.nih.gov/38705701/	TiAb	exclude	RANDOMISATION	retrospective cohort estimates	N
PubMed	38635062	Efficacy of early administration of sacubitril/valsartan after coronary artery revascularization in AMI complicated by moderate-to-severe mitral regurgitation: a randomized controlled trial	Heart and vessels	2024	https://pubmed.ncbi.nlm.nih.gov/38635062/	TiAb	exclude	POPULATION	acute myocardial infarction with mitral regurgitation	N
PubMed	38597935	Sacubitril/valsartan compared to equivalent/sub-equivalent dose ARB or ACEI in HFrEF: a meta-analysis of randomized trials	European journal of clinical pharmacology	2024	https://pubmed.ncbi.nlm.nih.gov/38597935/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	38588927	Effects of Sacubitril/Valsartan Across the Spectrum of Renal Impairment in Patients With Heart Failure	Journal of the American College of Cardiology	2024	https://pubmed.ncbi.nlm.nih.gov/38588927/	TiAb	exclude	OUTCOME	renal-function subgroup estimates	N
PubMed	38508844	Sacubitril/Valsartan in Patients Hospitalized With Decompensated Heart Failure	Journal of the American College of Cardiology	2024	https://pubmed.ncbi.nlm.nih.gov/38508844/	TiAb	undetermined	-	title does not name comparator or reported quantity; abstract not retrieved before the ClinicalTrials.gov 429 halt. Carried to full text.	N
PubMed	38465175	The Safety and Efficacy of the Early Use of Sacubitril/Valsartan After Acute Myocardial Infarction: A Meta-Analysis of Randomized Controlled Trials	Cureus	2024	https://pubmed.ncbi.nlm.nih.gov/38465175/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	38216822	Add-on Sacubitril/Valsartan Therapy Induces Left Ventricular Remodeling in Non-responders to Cardiac Resynchronization Therapy	Cardiology and therapy	2024	https://pubmed.ncbi.nlm.nih.gov/38216822/	TiAb	exclude	COMPARATOR	no enalapril comparator; add-on design	N
PubMed	38134075	Real-world analysis of integration of sacubitril/valsartan into clinical practice in Saudi Arabia	Medicine	2023	https://pubmed.ncbi.nlm.nih.gov/38134075/	TiAb	exclude	RANDOMISATION	descriptive real-world statistics	N
PubMed	37989299	Efficacy and Safety of Sacubitril/Valsartan in Japanese Patients According to Baseline Systolic Blood Pressure - Subgroup Analysis of PARALLEL-HF	Circulation journal	2023	https://pubmed.ncbi.nlm.nih.gov/37989299/	TiAb	exclude	OUTCOME	blood-pressure subgroup estimates; secondary report of PARALLEL-HF	N
PubMed	37917889	Effectiveness and Safety of Sacubitril/Valsartan in Heart Failure with Preserved Ejection Fraction: A Systematic Review and Meta-Analysis	Alternative therapies in health and medicine	2024	https://pubmed.ncbi.nlm.nih.gov/37917889/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	37619492	Angiotensin Receptor-Neprilysin Inhibitor Effects on Atherosclerotic Cardiovascular Disease Events: A Meta-Analysis of Randomized Controlled Trials	The American journal of cardiology	2023	https://pubmed.ncbi.nlm.nih.gov/37619492/	TiAb	exclude	RANDOMISATION	pooled ASCVD event estimates	Y
PubMed	37601056	The efficacy and safety of sacubitril/valsartan compared with ACEI/ARB in the treatment of heart failure following acute myocardial infarction: a systematic review and meta-analysis	Frontiers in pharmacology	2023	https://pubmed.ncbi.nlm.nih.gov/37601056/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	37554618	Effects of Angiotensin Receptor-Neprilysin Inhibitors Versus Enalapril or Valsartan on Patients With Heart Failure: A Systematic Review and Meta-Analysis	Cureus	2023	https://pubmed.ncbi.nlm.nih.gov/37554618/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	37427009	Pathophysiological Rationale and Clinical Evidence for Neurohormonal Modulation in Heart Failure with Preserved Ejection Fraction	Cardiac failure review	2023	https://pubmed.ncbi.nlm.nih.gov/37427009/	TiAb	exclude	RANDOMISATION	narrative review	N
PubMed	37407154	Prevalent and Incident Anemia in PARADIGM-HF and the Effect of Sacubitril/Valsartan	JACC. Heart failure	2023	https://pubmed.ncbi.nlm.nih.gov/37407154/	TiAb	exclude	OUTCOME	anaemia incidence and prevalence	N
PubMed	37313196	Efficacy and safety of sacubitril/valsartan in heart failure compared to renin-angiotensin-aldosterone system inhibitors: a systematic review and meta-analysis of randomised controlled trials	Archives of medical science	2023	https://pubmed.ncbi.nlm.nih.gov/37313196/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	37195574	The efficacy and safety of sacubitril/valsartan in chronic kidney disease: a systematic review and meta-analysis	International urology and nephrology	2024	https://pubmed.ncbi.nlm.nih.gov/37195574/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	37077749	Evaluation of early left-sided cardiac reverse remodeling under combined therapy of sacubitril-valsartan and spironolactone compared with ACEI and spironolactone	Frontiers in cardiovascular medicine	2023	https://pubmed.ncbi.nlm.nih.gov/37077749/	TiAb	exclude	OUTCOME	echocardiographic reverse-remodelling measures	N
PubMed	37000983	Effects of Sacubitril-Valsartan in Patients With Various Types of Heart Failure: A Meta-analysis	Journal of cardiovascular pharmacology	2023	https://pubmed.ncbi.nlm.nih.gov/37000983/	TiAb	exclude	RANDOMISATION	pooled estimate across trials	Y
PubMed	36943907	Urinary cGMP/BNP Ratio, Sacubitril/Valsartan, and Outcomes in HFrEF: An Analysis of the PARADIGM-HF Trial	Circulation. Heart failure	2023	https://pubmed.ncbi.nlm.nih.gov/36943907/	TiAb	exclude	OUTCOME	biomarker ratio and its association with outcome	N
PubMed	36874318	The Effect of Sacubitril-Valsartan on Ventricular Arrhythmia Burden in Patients With HFrEF	Cureus	2023	https://pubmed.ncbi.nlm.nih.gov/36874318/	TiAb	exclude	OUTCOME	ventricular arrhythmia burden	N
PubMed	36871177	Effect of sacubitril-valsartan on the incidence of atrial fibrillation: A meta-analysis	Journal of cardiovascular electrophysiology	2023	https://pubmed.ncbi.nlm.nih.gov/36871177/	TiAb	exclude	RANDOMISATION	pooled atrial fibrillation incidence	Y
PubMed	36812948	Variation in Renal Function Following Transition to Sacubitril/Valsartan in Patients With Heart Failure	Journal of the American College of Cardiology	2023	https://pubmed.ncbi.nlm.nih.gov/36812948/	TiAb	exclude	OUTCOME	renal function change	N
PubMed	36808581	Cost-effectiveness in unstable economies: the case of sacubitril/valsartan in HFrEF in Argentina	Health economics review	2023	https://pubmed.ncbi.nlm.nih.gov/36808581/	TiAb	exclude	RANDOMISATION	incremental cost-effectiveness ratio	N
PubMed	36712243	Effects of sacubitril/valsartan on cardiac reverse remodeling and cardiac resynchronization in patients with acute myocardial infarction	Frontiers in cardiovascular medicine	2022	https://pubmed.ncbi.nlm.nih.gov/36712243/	TiAb	exclude	POPULATION	acute myocardial infarction	N
PubMed	36609948	Sacubitril/valsartan improves all-cause mortality in heart failure patients with reduced ejection fraction and chronic kidney disease	Cardiovascular drugs and therapy	2024	https://pubmed.ncbi.nlm.nih.gov/36609948/	TiAb	exclude	RANDOMISATION	adjusted estimates from a comparative non-randomised study	N
PubMed	36601956	Baseline Characteristics of Pediatric Patients With Heart Failure Due to Systemic Left Ventricular Systolic Dysfunction in the PANORAMA-HF Trial	Circulation. Heart failure	2023	https://pubmed.ncbi.nlm.nih.gov/36601956/	TiAb	exclude	POPULATION	paediatric population	N
PubMed	36561058	Effectiveness of sacubitril-valsartan versus ACE inhibitors in patients hospitalized for acute heart failure: a retrospective cohort study of the RICA registry	Journal of geriatric cardiology	2022	https://pubmed.ncbi.nlm.nih.gov/36561058/	TiAb	exclude	RANDOMISATION	retrospective registry estimates	N
PubMed	36530836	Effects of Sacubitril/Valsartan on Glycemic Control in Japanese Patients With Heart Failure and/or Hypertension	Circulation reports	2022	https://pubmed.ncbi.nlm.nih.gov/36530836/	TiAb	exclude	OUTCOME	glycaemic measures	N
PubMed	36527023	Effect of sacubitril/valsartan and ACEI/ARB on glycaemia and the development of diabetes: a systematic review and meta-analysis of randomised controlled trials	BMC medicine	2022	https://pubmed.ncbi.nlm.nih.gov/36527023/	TiAb	exclude	RANDOMISATION	pooled glycaemic estimates	Y
PubMed	36475871	Efficacy and Safety of Sacubitril/Valsartan Compared With ACEI/ARB on Health-Related Quality of Life in Heart Failure Patients: A Meta-Analysis	The Annals of pharmacotherapy	2023	https://pubmed.ncbi.nlm.nih.gov/36475871/	TiAb	exclude	RANDOMISATION	pooled quality-of-life estimates	Y
PubMed	36404386	Estimating the Time to Benefit for Therapies in HFrEF: A Case Study of Sacubitril-Valsartan Using Reconstructed Data from a Randomized Controlled Trial	Drugs and aging	2022	https://pubmed.ncbi.nlm.nih.gov/36404386/	TiAb	exclude	OUTCOME	time-to-benefit estimate reconstructed from published curves	N
PubMed	36304540	A systematic review and meta-analysis of sacubitril-valsartan in the treatment of ventricular remodeling in patients with heart failure after acute myocardial infarction	Frontiers in cardiovascular medicine	2022	https://pubmed.ncbi.nlm.nih.gov/36304540/	TiAb	exclude	RANDOMISATION	pooled remodelling estimates	Y
PubMed	36148074	Effect of sacubitril/valsartan on the occurrence of cardiac arrhythmias and the risk of sudden cardiac death in heart failure: A meta-analysis of randomized controlled trials	Frontiers in cardiovascular medicine	2022	https://pubmed.ncbi.nlm.nih.gov/36148074/	TiAb	exclude	RANDOMISATION	pooled arrhythmia and sudden-death estimates	Y
PubMed	36132549	The Relationship between Angiotensin-Neprilysin Treatment, Echocardiographic Parameters, and NT-proBNP Levels in HFpEF Patients with Acute Decompensated Heart Failure (RETRACTED)	Computational and mathematical methods in medicine	2022	https://pubmed.ncbi.nlm.nih.gov/36132549/	TiAb	exclude	POPULATION	HFpEF; record is a retracted publication	N
PubMed	36062622	Sacubitril/Valsartan in Patients With Heart Failure and Concomitant End-Stage Kidney Disease	Journal of the American Heart Association	2022	https://pubmed.ncbi.nlm.nih.gov/36062622/	TiAb	exclude	POPULATION	end-stage kidney disease	N
PubMed	35990952	Effects of sacubitril/valsartan on life quality in chronic heart failure: A systematic review and meta-analysis of randomized controlled trials	Frontiers in cardiovascular medicine	2022	https://pubmed.ncbi.nlm.nih.gov/35990952/	TiAb	exclude	RANDOMISATION	pooled quality-of-life estimates	Y
PubMed	35921043	Sacubitril/valsartan in heart failure: efficacy and safety in and outside clinical trials	ESC heart failure	2022	https://pubmed.ncbi.nlm.nih.gov/35921043/	TiAb	exclude	RANDOMISATION	narrative review	N
PubMed	35874853	The comparative effects of sacubitril/valsartan versus enalapril on pulmonary hypertension due to heart failure with a reduced ejection fraction	Pulmonary circulation	2022	https://pubmed.ncbi.nlm.nih.gov/35874853/	TiAb	exclude	OUTCOME	pulmonary haemodynamic measures	N
PubMed	35859597	Effect of Sacubitril/Valsartan on Reducing the Risk of Arrhythmia: A Systematic Review and Meta-Analysis of Randomized Controlled Trials	Frontiers in cardiovascular medicine	2022	https://pubmed.ncbi.nlm.nih.gov/35859597/	TiAb	exclude	RANDOMISATION	pooled arrhythmia estimates	Y
PubMed	35772853	Tolerability of Sacubitril/Valsartan in Patients With Advanced Heart Failure: Analysis of the LIFE Trial Run-In	JACC. Heart failure	2022	https://pubmed.ncbi.nlm.nih.gov/35772853/	TiAb	exclude	COMPARATOR	LIFE randomised against valsartan; this record reports run-in tolerability	N
PubMed	35761118	The Prevalence of Adverse Drug Reactions and Adverse Drug Events from Heart Failure Medications in Frail Older Adults: A Systematic Review	Drugs and aging	2022	https://pubmed.ncbi.nlm.nih.gov/35761118/	TiAb	exclude	RANDOMISATION	pooled adverse-event prevalence	Y
PubMed	35717169	Effects of sacubitril/valsartan on glycemia in patients with diabetes and heart failure: the PARAGON-HF and PARADIGM-HF trials	Cardiovascular diabetology	2022	https://pubmed.ncbi.nlm.nih.gov/35717169/	TiAb	exclude	OUTCOME	glycaemic measures	N
PubMed	35654526	Clinical Outcomes Related to Background Diuretic Use and New Diuretic Initiation in Patients With HFrEF	JACC. Heart failure	2022	https://pubmed.ncbi.nlm.nih.gov/35654526/	TiAb	exclude	OUTCOME	diuretic-use subgroup estimates	N
PubMed	35560696	Changes in cardiac biomarkers in association with alterations in cardiac structure and function, and health status in HFrEF: the EVALUATE-HF trial	European journal of heart failure	2022	https://pubmed.ncbi.nlm.nih.gov/35560696/	TiAb	exclude	OUTCOME	biomarker and echocardiographic change	N
PubMed	35523577	Angiotensin-converting enzyme inhibitor therapy after heart transplant: From molecular basis to clinical effects	Clinical transplantation	2022	https://pubmed.ncbi.nlm.nih.gov/35523577/	TiAb	exclude	POPULATION	heart transplant recipients	N
PubMed	35469709	Renin-angiotensin-aldosterone system inhibition in patients affected by heart failure: Position Paper of the Italian Society of Cardiology	European journal of internal medicine	2022	https://pubmed.ncbi.nlm.nih.gov/35469709/	TiAb	exclude	RANDOMISATION	consensus statement	N
PubMed	35400328	Effects of Sacubitril/Valsartan Versus Telmisartan in Type 2 Diabetic or Pre-Diabetic Patients with Hypertension and Without Heart Failure: Rationale and Design	Cardiovascular and hematological disorders drug targets	2022	https://pubmed.ncbi.nlm.nih.gov/35400328/	TiAb	exclude	POPULATION	hypertension without heart failure	N
